BlockID;TrialID;Config;Position
0;0;1;(-2.50, -0.16, -2.43)
0;1;2;(2.05, -0.55, -3.23)
0;2;0;(-0.09, 0.00, -1.75)
1;3;0;(-3.03, -0.13, -0.97)
1;4;2;(2.37, -0.18, -1.88)
1;5;1;(-0.82, -1.24, 2.63)
2;6;0;(-2.66, -0.50, 0.46)
2;7;2;(3.01, -1.51, -1.78)
2;8;1;(1.01, 1.74, 2.51)
3;9;2;(-2.29, 0.89, -2.62)
3;10;1;(-3.20, -1.20, 1.99)
3;11;0;(-0.20, -1.75, -1.87)
4;12;2;(-0.35, 0.00, 3.57)
4;13;0;(-2.38, -0.21, 2.84)
4;14;1;(-0.58, -1.14, -3.88)
5;15;0;(1.73, -1.04, -0.62)
5;16;1;(-1.34, 0.20, 3.13)
5;17;2;(2.50, -0.57, -0.33)
6;18;1;(-2.84, 0.54, 1.70)
6;19;2;(-0.37, -0.75, 0.57)
6;20;0;(-0.53, -1.63, 2.67)
7;21;1;(2.06, 1.45, -1.72)
7;22;2;(0.51, 0.16, 2.31)
7;23;0;(-1.99, 0.52, -1.01)
8;24;1;(3.35, 1.17, -2.49)
8;25;0;(1.60, -1.47, 3.07)
8;26;2;(1.19, -0.61, 2.89)
9;27;0;(-0.60, -0.92, -3.81)
9;28;1;(-1.29, -0.24, 2.03)
9;29;2;(0.68, -0.33, 3.41)
10;30;1;(-1.65, 1.61, -3.79)
10;31;2;(0.40, -0.45, 2.76)
10;32;0;(-0.36, -0.06, -2.29)
11;33;0;(2.20, 0.60, 3.64)
11;34;1;(2.97, -0.67, -3.02)
11;35;2;(0.61, -1.71, -3.60)
12;36;2;(2.37, -1.55, 2.38)
12;37;1;(-1.65, 0.83, 2.68)
12;38;0;(3.05, -0.56, 1.12)
13;39;1;(-2.95, 1.48, -2.14)
13;40;0;(2.31, -0.88, 1.27)
13;41;2;(-1.60, 1.03, 1.31)
14;42;2;(2.30, 1.47, -0.77)
14;43;0;(0.15, 0.08, 1.77)
14;44;1;(-1.60, -0.87, -3.14)
15;45;2;(-2.29, -0.61, 1.76)
15;46;1;(-0.01, -1.41, -1.85)
15;47;0;(2.09, 1.45, -1.22)
16;48;0;(-1.04, 1.29, 2.09)
16;49;2;(-1.39, -0.08, -1.49)
16;50;1;(2.84, 0.81, -2.06)
17;51;0;(0.31, -0.21, -0.46)
17;52;1;(-0.35, 1.34, 3.81)
17;53;2;(0.02, 1.26, -2.85)
18;54;1;(2.56, 1.12, 3.32)
18;55;0;(0.17, 1.33, 1.22)
18;56;2;(0.43, 0.97, -0.37)
19;57;1;(-3.03, 0.97, 3.86)
19;58;0;(1.70, 0.39, 3.22)
19;59;2;(-0.10, 0.36, -3.53)
