BlockID;TrialID;Config;StopWatch
0;0;1;2,581923
0;1;2;11,29917
0;2;0;1,976131
1;3;0;2,80555
1;4;2;2,932573
1;5;1;3,229092
2;6;0;3,236195
2;7;2;8,482471
2;8;1;4,512627
3;9;2;4,047333
3;10;1;2,522514
3;11;0;2,651894
4;12;2;2,733292
4;13;0;2,430779
4;14;1;2,203743
5;15;0;1,674789
5;16;1;2,035797
5;17;2;4,002457
6;18;1;2,315567
6;19;2;1,537048
6;20;0;1,033424
7;21;1;4,05584
7;22;2;4,611053
7;23;0;5,497284
8;24;1;1,79641
8;25;0;2,701706
8;26;2;2,930298
9;27;0;3,243195
9;28;1;2,086334
9;29;2;1,759827
10;30;1;2,850273
10;31;2;7,27594
10;32;0;6,815849
11;33;0;2,146286
11;34;1;2,409088
11;35;2;2,140884
12;36;2;4,253906
12;37;1;2,037048
12;38;0;2,695953
13;39;1;2,342499
13;40;0;3,211685
13;41;2;3,09581
14;42;2;7,067093
14;43;0;2,852036
14;44;1;3,557236
15;45;2;3,67421
15;46;1;5,256317
15;47;0;3,524536
16;48;0;2,118698
16;49;2;5,460098
16;50;1;1,33342
17;51;0;1,161987
17;52;1;1,341187
17;53;2;2,865662
18;54;1;3,122787
18;55;0;1,052948
18;56;2;1,305923
19;57;1;1,452972
19;58;0;1,085632
19;59;2;3,973175
