BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;5;3,4103;1,6827;-1,0300;0,0913;1,6827;-1,3607;-3,3029;308,89;308,89
0;1;1;3,6227;1,2679;-0,7134;-2,4248;-1,7650;1,2679;-2,4248;61,37156;61,37157
0;2;6;4,9989;-2,8153;-0,2365;0,8602;2,1792;-0,0291;0,8723;231,6182;231,6182
0;3;3;4,3659;1,3842;-1,1617;0,0889;-2,3231;1,1441;0,0889;240,4552;240,4553
0;4;4;4,9664;2,9370;-0,5863;-2,3723;1,4321;-0,5863;2,3607;83,87812;83,87814
0;5;2;5,1324;2,3538;0,2086;-2,8985;2,3538;0,2086;2,2339;277,6096;277,6096
0;6;0;5,7884;-2,8787;-0,6922;-2,6091;2,9097;-0,6922;-2,6092;308,8292;308,8293
1;7;4;5,9854;1,9799;-0,3801;-0,2469;-2,9902;-0,3801;3,0883;359,3854;359,3855
1;8;0;4,9842;2,8903;1,0616;2,2478;-2,0939;1,0616;2,2478;218,1834;218,1834
BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;1;3,5212;1,2949;-1,1633;2,9568;-1,2262;1,2949;2,9568;213,4397;213,4398
0;1;0;4,7590;2,8280;-0,3080;-1,9506;-1,9310;-0,3080;-1,9506;74,29852;74,29852
0;2;6;4,5048;2,1098;0,6364;-3,4203;-1,0928;-0,0831;-0,3350;21,93697;21,93697
0;3;2;4,1313;-2,5972;-0,8496;-1,1215;-2,5973;-0,8496;3,0098;127,9908;127,9908
0;4;5;4,9450;1,1055;-0,7574;-3,2194;1,1055;0,1129;1,6485;67,80517;67,80518
0;5;3;3,5089;1,0210;-0,8428;0,8398;-2,4745;-0,5364;0,8398;76,5402;76,54021
0;6;4;3,9794;1,1302;0,7707;-1,0429;-2,8021;0,7707;-1,6532;305,4635;305,4635
1;7;6;4,2532;0,8692;0,7859;1,5763;-1,4437;0,3760;-1,9694;227,0678;227,0678
1;8;5;5,3880;0,4620;0,5410;-3,1675;0,4620;0,7174;2,2176;46,72169;46,72169
1;9;0;3,6865;-2,9503;-1,3282;3,0392;0,7361;-1,3282;3,0392;174,9784;174,9784
1;10;4;3,5240;-0,1258;-1,3365;-1,4368;-0,0395;-1,3365;2,0862;137,0766;137,0766
1;11;2;6,0880;-2,4263;-0,3283;3,1892;-2,4263;-0,3283;-2,8988;173,8337;173,8338
1;12;3;4,4615;2,6006;-0,0071;3,4969;-1,8164;0,6219;3,4969;100,7388;100,7388
1;13;1;3,9431;0,9222;-1,0830;-0,6538;-2,4729;0,9222;-0,6538;32,94393;32,94394
2;14;5;4,6280;2,4899;1,1616;2,1077;2,4899;-1,0322;-1,9673;29,24313;29,24313
2;15;4;5,1929;-1,0774;1,1029;-3,4281;1,3383;1,1029;1,1687;284,8053;284,8053
2;16;1;3,9920;-1,3497;1,2845;-2,9996;1,6499;-1,3497;-2,9996;350,7029;350,7029
2;17;2;5,0125;2,9726;-0,9054;-1,6739;2,9726;-0,9054;3,3385;242,9734;242,9734
2;18;3;3,9874;-0,7027;-1,2333;0,7168;2,7614;0,7414;0,7168;229,9831;229,9831
2;19;6;6,0188;0,1724;0,5964;-2,9238;-2,6565;-1,3727;2,0104;72,08765;72,08766
