BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;5;1,44038;0;0
0;1;1;0,8768263;0;0
0;2;3;0,6785891;0;0
0;3;2;0,512867;1,788139E-08;0
0;4;0;0,5221562;0;0
0;5;6;0,4699817;0;0
0;6;4;0,4591217;0;0
1;7;2;0,7388577;2,407356E-08;0
1;8;3;0,5212603;0;0
1;9;5;0,4950495;0;0
1;10;0;0,4137716;0;0
1;11;6;0,3971109;0;0
1;12;4;0,4623823;0;0
1;13;1;1,237587;0;0
2;14;5;0,4697866;0;0
2;15;3;0,7845392;0;0
2;16;1;0,6910877;0;0
2;17;0;0,493104;0;0
2;18;6;0,5841722;0;0
2;19;4;0,5043449;0;0
2;20;2;0,5495682;0;0
