;index;BlockID;Frame;StopWatch;PosX;PosY;PosZ;User;Conditions;CircuitID;UX
0;0;0;1;0,02582932;-2,8329;0,0788;-1,2777;User20;3DMouse;Circuit1;PathTracing
1;1;0;3;0,05323792;-2,9177;0,0326;-1,2057;User20;3DMouse;Circuit1;PathTracing
2;2;0;4;0,0675354;-2,9632;0,0077;-1,168;User20;3DMouse;Circuit1;PathTracing
3;3;0;5;0,08029175;-3,012;-0,0197;-1,1286;User20;3DMouse;Circuit1;PathTracing
4;4;0;6;0,09290695;-3,0609;-0,0463;-1,0883;User20;3DMouse;Circuit1;PathTracing
5;5;0;7;0,107254;-3,1072;-0,0729;-1,0463;User20;3DMouse;Circuit1;PathTracing
6;6;0;8;0,1194954;-3,1517;-0,0986;-1,0051;User20;3DMouse;Circuit1;PathTracing
7;7;0;9;0,1338234;-3,1963;-0,1243;-0,964;User20;3DMouse;Circuit1;PathTracing
8;8;0;10;0,147171;-3,2392;-0,1457;-0,9288;User20;3DMouse;Circuit1;PathTracing
9;9;0;11;0,1601982;-3,2794;-0,1466;-0,8963;User20;3DMouse;Circuit1;PathTracing
10;10;0;12;0,1748581;-3,3137;-0,1466;-0,8663;User20;3DMouse;Circuit1;PathTracing
11;11;0;13;0,1875496;-3,3386;-0,1466;-0,8397;User20;3DMouse;Circuit1;PathTracing
12;12;0;14;0,202034;-3,3566;-0,1457;-0,8131;User20;3DMouse;Circuit1;PathTracing
13;13;0;15;0,2165298;-3,3617;-0,1397;-0,7926;User20;3DMouse;Circuit1;PathTracing
14;14;0;16;0,2299843;-3,3617;-0,1303;-0,778;User20;3DMouse;Circuit1;PathTracing
15;15;0;17;0,2431297;-3,3617;-0,1209;-0,7634;User20;3DMouse;Circuit1;PathTracing
16;16;0;18;0,2586823;-3,3617;-0,1123;-0,754;User20;3DMouse;Circuit1;PathTracing
17;17;0;19;0,2727737;-3,3617;-0,1037;-0,7531;User20;3DMouse;Circuit1;PathTracing
18;18;0;20;0,2854462;-3,3617;-0,1012;-0,7531;User20;3DMouse;Circuit1;PathTracing
19;19;0;21;0,2995377;-3,3617;-0,1012;-0,7531;User20;3DMouse;Circuit1;PathTracing
20;20;0;22;0,3100929;-3,3617;-0,1012;-0,7531;User20;3DMouse;Circuit1;PathTracing
21;21;0;23;0,3234558;-3,3617;-0,1012;-0,7531;User20;3DMouse;Circuit1;PathTracing
22;22;0;24;0,3338928;-3,3617;-0,1012;-0,7531;User20;3DMouse;Circuit1;PathTracing
23;23;0;25;0,3441238;-3,3617;-0,1012;-0,7531;User20;3DMouse;Circuit1;PathTracing
24;24;0;26;0,3567276;-3,3617;-0,1012;-0,7531;User20;3DMouse;Circuit1;PathTracing
25;25;0;27;0,3673477;-3,3617;-0,1012;-0,7531;User20;3DMouse;Circuit1;PathTracing
26;26;0;28;0,3785553;-3,3617;-0,1012;-0,7531;User20;3DMouse;Circuit1;PathTracing
27;27;0;29;0,3915596;-3,3617;-0,1012;-0,7531;User20;3DMouse;Circuit1;PathTracing
