;index;BlockID;Frame;StopWatch;PosX;PosY;PosZ;User;Conditions;CircuitID;UX
0;0;0;1;0,03042603;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
1;1;0;3;0,06051636;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
2;2;0;4;0,07281113;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
3;3;0;5;0,08948517;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
4;4;0;6;0,1036873;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
5;5;0;7;0,1181908;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
6;6;0;8;0,1303558;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
7;7;0;9;0,1446762;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
8;8;0;10;0,1590157;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
9;9;0;11;0,1721001;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
10;10;0;12;0,1878967;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
11;11;0;13;0,2044182;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
12;12;0;14;0,2186356;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
13;13;0;15;0,2335396;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
14;14;0;16;0,2488213;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
15;15;0;17;0,2633095;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
16;16;0;18;0,2769279;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
17;17;0;19;0,2880135;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
18;18;0;20;0,303051;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
19;19;0;21;0,3176842;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
20;20;0;22;0,329834;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
21;21;0;23;0,3447418;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
22;22;0;24;0,3592491;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
23;23;0;25;0,3756447;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
24;24;0;26;0,38797;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
25;25;0;27;0,4025383;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
26;26;0;28;0,4172897;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
27;27;0;29;0,429718;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
28;28;0;30;0,4456863;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
29;29;0;31;0,4572906;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
30;30;0;32;0,4705925;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
31;31;0;33;0,4860001;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
32;32;0;34;0,4988403;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
33;33;0;35;0,5127869;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
34;34;0;36;0,5290337;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
35;35;0;37;0,5406494;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
36;36;0;38;0,5569992;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
37;37;0;39;0,5712738;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
38;38;0;40;0,5853386;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
39;39;0;41;0,6009216;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
40;40;0;42;0,6129608;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
41;41;0;43;0,6287537;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
42;42;0;44;0,6404495;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
43;43;0;45;0,6544952;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
44;44;0;46;0,6688995;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
45;45;0;47;0,6801491;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
46;46;0;48;0,6962395;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
47;47;0;49;0,7087593;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
48;48;0;50;0,7218895;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
49;49;0;51;0,7356186;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
50;50;0;52;0,7482681;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
51;51;0;53;0,7641983;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
52;52;0;54;0,7777176;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
53;53;0;55;0,7925186;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
54;54;0;56;0,8046379;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
55;55;0;57;0,8191452;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
56;56;0;58;0,8328323;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
57;57;0;59;0,8463554;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
58;58;0;60;0,8615761;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
59;59;0;61;0,8768501;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
60;60;0;62;0,887928;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
61;61;0;63;0,903286;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
62;62;0;64;0,9191093;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
63;63;0;65;0,9308434;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
64;64;0;66;0,9467125;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
65;65;0;67;0,9604568;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
66;66;0;68;0,9729996;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
67;67;0;69;0,9883804;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
68;68;0;70;1,003021;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
69;69;0;71;1,018314;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
70;70;0;72;1,030422;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
71;71;0;73;1,044468;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
72;72;0;74;1,05986;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
73;73;0;75;1,072304;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
74;74;0;76;1,086136;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
75;75;0;77;1,101009;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
76;76;0;78;1,113567;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
77;77;0;79;1,127869;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
78;78;0;80;1,140816;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
79;79;0;81;1,154079;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
80;80;0;82;1,167759;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
81;81;0;83;1,180447;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
82;82;0;84;1,19384;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
83;83;0;85;1,206551;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
84;84;0;86;1,218807;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
85;85;0;87;1,231987;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
86;86;0;88;1,245094;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
87;87;0;89;1,256168;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
88;88;0;90;1,26918;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
89;89;0;91;1,28017;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
90;90;0;92;1,29369;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
91;91;0;93;1,304897;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
92;92;0;94;1,318073;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
93;93;0;95;1,330048;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
94;94;0;96;1,344585;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
95;95;0;97;1,355965;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
96;96;0;98;1,370941;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
97;97;0;99;1,385269;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
98;98;0;100;1,397045;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
99;99;0;101;1,412418;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
100;100;0;102;1,426544;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
101;101;0;103;1,440094;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
102;102;0;104;1,456635;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
103;103;0;105;1,469772;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
104;104;0;106;1,487122;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
105;105;0;107;1,502876;-2,7874;0,132;-1,324;User20;Hand;Circuit1;PathTracing
106;106;0;108;1,519249;-2,6078;-0,1385;-1,1274;User20;Hand;Circuit1;PathTracing
107;107;0;109;1,5308;-2,6078;-0,1385;-1,1274;User20;Hand;Circuit1;PathTracing
108;108;0;110;1,544209;-2,6078;-0,1385;-1,1274;User20;Hand;Circuit1;PathTracing
109;109;0;111;1,561687;-2,6056;-0,1811;-1,1095;User20;Hand;Circuit1;PathTracing
110;110;0;112;1,573277;-2,6056;-0,1811;-1,1095;User20;Hand;Circuit1;PathTracing
111;111;0;113;1,586788;-2,6056;-0,1811;-1,1095;User20;Hand;Circuit1;PathTracing
112;112;0;114;1,599529;-2,6056;-0,1811;-1,1095;User20;Hand;Circuit1;PathTracing
113;113;0;115;1,617744;-2,5369;-0,5064;-1,0564;User20;Hand;Circuit1;PathTracing
114;114;0;116;1,629326;-2,5369;-0,5064;-1,0564;User20;Hand;Circuit1;PathTracing
115;115;0;117;1,642719;-2,5369;-0,5064;-1,0564;User20;Hand;Circuit1;PathTracing
116;116;0;118;1,659859;-2,495;-0,4768;-1,0104;User20;Hand;Circuit1;PathTracing
117;117;0;119;1,671036;-2,495;-0,4768;-1,0104;User20;Hand;Circuit1;PathTracing
118;118;0;120;1,684704;-2,495;-0,4768;-1,0104;User20;Hand;Circuit1;PathTracing
