;index;BlockID;Frame;StopWatch;PosX;PosY;PosZ;User;Conditions;CircuitID;UX;PositionAbsolute;PositionSubstraction
0;0;0;1;0,03971863;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
1;1;0;3;0,07608795;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
2;2;0;4;0,09414673;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
3;3;0;5;0,1102104;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
4;4;0;6;0,1281128;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
5;5;0;7;0,1480522;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
6;6;0;8;0,1621056;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
7;7;0;9;0,1826134;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
8;8;0;10;0,198616;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
9;9;0;11;0,2169952;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
10;10;0;12;0,2328529;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
11;11;0;13;0,250412;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
12;12;0;14;0,2668152;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
13;13;0;15;0,2857666;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0009068166162116142
14;14;0;16;0,3031578;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,002617681178011644
15;15;0;17;0,3224335;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0008048388065171608
16;16;0;18;0,3385429;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
17;17;0;19;0,358593;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
18;18;0;20;0,3742943;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
19;19;0;21;0,393074;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
20;20;0;22;0,4083633;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
21;21;0;23;0,4266014;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
22;22;0;24;0,4427719;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
23;23;0;25;0,4601784;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
24;24;0;26;0,475235;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
25;25;0;27;0,4944763;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0
26;26;0;28;0,5113487;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0028722176393332077
27;27;0;29;0,5303001;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,014522508612690999
28;28;0;30;0,5458946;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,018725470566173463
29;29;0;31;0,5646858;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,03334935511195436
30;30;0;32;0,5814514;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,03445609903771807
31;31;0;33;0,5993805;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,03454896319595413
32;32;0;34;0,6139565;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,03731372976116276
33;33;0;35;0,6312408;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04584772725670572
34;34;0;36;0,6473808;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,046948852843914146
35;35;0;37;0,6616898;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04365296518351869
36;36;0;38;0,6778984;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,040451189426901735
37;37;0;39;0,6942635;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,043894342471840986
38;38;0;40;0,7104912;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04363639402337238
39;39;0;41;0,7278786;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,043549424137500736
40;40;0;42;0,7448082;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04042408755728211
41;41;0;43;0,761528;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,03544412189582946
42;42;0;44;0,7816925;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,03852963116074104
43;43;0;45;0,8020973;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,043738023163292894
44;44;0;46;0,8193436;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04933783996260299
45;45;0;47;0,8387909;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,05081033700052551
46;46;0;48;0,8540344;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04455499970446386
47;47;0;49;0,8704796;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0446193281938605
48;48;0;50;0,8907242;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,042585193775452446
49;49;0;51;0,906044;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04530949419386232
50;50;0;52;0,9257011;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,053278610414401406
51;51;0;53;0,9418259;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,05532492758177998
52;52;0;54;0,9600258;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,05147201042713068
53;53;0;55;0,9756546;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04478750649673202
54;54;0;56;0,9941101;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04447322075267213
55;55;0;57;1,010109;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04736591106060217
56;56;0;58;1,030281;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04906456035112061
57;57;0;59;1,047794;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,05431083226755806
58;58;0;60;1,066559;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,05740909531917726
59;59;0;61;1,083054;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,05612486786341364
60;60;0;62;1,099236;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,05970828753928714
61;61;0;63;1,116203;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,06426676997405689
62;62;0;64;1,132236;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,07038509941005522
63;63;0;65;1,148663;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,07321840602742924
64;64;0;66;1,165142;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,06985797886271161
65;65;0;67;1,183208;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,06489762626854212
66;66;0;68;1,199562;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,05646393913821335
67;67;0;69;1,216793;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,05266751564701888
68;68;0;70;1,233734;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,051786927444547715
69;69;0;71;1,251148;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,06009570089388383
70;70;0;72;1,268314;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,0577015154175724
71;71;0;73;1,288754;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,05060092886771628
72;72;0;74;1,307281;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,04050455450277202
73;73;0;75;1,325882;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,030298296896449806
74;74;0;76;1,341946;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,02915862658200652
75;75;0;77;1,360847;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,026566039179219736
76;76;0;78;1,377213;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,027516506004405805
77;77;0;79;1,393826;2,6873;0,132;-1,776;User20;Hand;Circuit2;PathTracing;3,22384572986984;0,021854557989957613
78;78;0;80;1,415466;2,6125;-0,0441;-1,7515;User20;Hand;Circuit2;PathTracing;3,1456085754588092;0,017399674987236047
79;79;0;81;1,431431;2,6125;-0,0441;-1,7515;User20;Hand;Circuit2;PathTracing;3,1456085754588092;0,017268792796174104
80;80;0;82;1,451744;2,7265;-0,2899;-1,8241;User20;Hand;Circuit2;PathTracing;3,293202858920173;0,021795125792571035
81;81;0;83;1,47221;2,7413;-0,3667;-1,8432;User20;Hand;Circuit2;PathTracing;3,3236396946720923;0,025767872963028182
82;82;0;84;1,48951;2,7413;-0,3667;-1,8432;User20;Hand;Circuit2;PathTracing;3,3236396946720923;0,029500194338192287
83;83;0;85;1,511696;2,703;-0,3533;-1,8134;User20;Hand;Circuit2;PathTracing;3,274057032184992;0,02707818016168595
84;84;0;86;1,527607;2,703;-0,3533;-1,8134;User20;Hand;Circuit2;PathTracing;3,274057032184992;0,009291165583587002
85;85;0;87;1,548889;2,6949;-0,5494;-1,8867;User20;Hand;Circuit2;PathTracing;3,3352605985140054;0,0006437614568977068
86;86;0;88;1,565647;2,6949;-0,5494;-1,8867;User20;Hand;Circuit2;PathTracing;3,3352605985140054;0,0
87;87;0;89;1,58585;2,6543;-0,4797;-1,8704;User20;Hand;Circuit2;PathTracing;3,2823492714822415;0,03114618894093013
88;88;0;90;1,602867;2,6543;-0,4797;-1,8704;User20;Hand;Circuit2;PathTracing;3,2823492714822415;0,06333139468649396
89;89;0;91;1,626007;2,5631;-0,737;-1,955;User20;Hand;Circuit2;PathTracing;3,3067621036294703;0,10056735367910008
90;90;0;92;1,64217;2,5631;-0,737;-1,955;User20;Hand;Circuit2;PathTracing;3,3067621036294703;0,1346071161225666
91;91;0;93;1,662502;2,5387;-0,6805;-1,9787;User20;Hand;Circuit2;PathTracing;3,2898832243713456;0,15251301447087773
92;92;0;94;1,678993;2,5387;-0,6805;-1,9787;User20;Hand;Circuit2;PathTracing;3,2898832243713456;0,1653648494923443
93;93;0;95;1,702717;2,2344;-0,7385;-1,9592;User20;Hand;Circuit2;PathTracing;3,0620891969372805;0,1780615048074221
94;94;0;96;1,719391;2,2344;-0,7385;-1,9592;User20;Hand;Circuit2;PathTracing;3,0620891969372805;0,17657831690445125
95;95;0;97;1,741837;1,9929;-0,831;-1,9458;User20;Hand;Circuit2;PathTracing;2,9066043848449685;0,17435171502059266
96;96;0;98;1,757698;1,9929;-0,831;-1,9458;User20;Hand;Circuit2;PathTracing;2,9066043848449685;0,15783590509466183
97;97;0;99;1,777847;2,0721;-0,6899;-2,0234;User20;Hand;Circuit2;PathTracing;2,977198008194954;0,1459344796223201
98;98;0;100;1,794392;2,0721;-0,6899;-2,0234;User20;Hand;Circuit2;PathTracing;2,977198008194954;0,134689052917091
99;99;0;101;1,816338;1,723;-0,5849;-1,9259;User20;Hand;Circuit2;PathTracing;2,6495146385706194;0,1251272166576829
100;100;0;102;1,832115;1,723;-0,5849;-1,9259;User20;Hand;Circuit2;PathTracing;2,6495146385706194;0,10979131457087288
101;101;0;103;1,852226;1,7431;-0,7905;-1,9436;User20;Hand;Circuit2;PathTracing;2,7277955971809913;0,09185632929935661
102;102;0;104;1,869137;1,7431;-0,7905;-1,9436;User20;Hand;Circuit2;PathTracing;2,7277955971809913;0,08458948792798804
103;103;0;105;1,885773;1,7431;-0,7905;-1,9436;User20;Hand;Circuit2;PathTracing;2,7277955971809913;0,07245790055421875
104;104;0;106;1,90836;1,3684;-0,5757;-1,8583;User20;Hand;Circuit2;PathTracing;2,37849278746016;0,057380892509893755
105;105;0;107;1,924709;1,3684;-0,5757;-1,8583;User20;Hand;Circuit2;PathTracing;2,37849278746016;0,006452541662553379
106;106;0;108;1,944744;1,1894;-0,5518;-1,8573;User20;Hand;Circuit2;PathTracing;2,2734816669592917;0,0
107;107;0;109;1,961155;1,1894;-0,5518;-1,8573;User20;Hand;Circuit2;PathTracing;2,2734816669592917;0,0
