BlockID;TrialID;Config;PositionTarget;PositionFinal;RotationTarget;RotationFinal
0;0;14;(-0.27, 1.06, 3.22);(-0.62, 0.92, 0.26);68,10628;152,408
0;1;11;(2.26, -0.96, 1.29);(0.10, 1.04, 1.29);55,29395;128,5711
0;2;20;(2.39, -0.48, 1.67);(2.39, 0.52, -2.42);195,8799;195,8799
0;3;16;(1.57, -1.07, 2.07);(-0.88, 1.57, 2.07);277,1653;277,1653
0;4;17;(-2.24, -0.28, -2.92);(-2.24, -0.28, 0.96);199,4742;199,4743
0;5;13;(1.70, -0.68, -4.00);(1.70, 0.45, 0.91);127,0342;322,5249
0;6;27;(2.01, -1.32, 1.48);(-2.48, -1.32, 2.59);127,7537;228,4174
0;7;8;(3.43, 1.21, 2.24);(-2.22, 1.21, 2.24);98,75676;357,2756
0;8;1;(-1.59, 1.58, -2.94);(-2.99, -1.59, -2.94);254,1635;254,1636
0;9;22;(1.29, -0.71, -1.85);(1.29, -0.71, -1.85);43,80152;121,2698
0;10;26;(2.31, 0.56, 0.99);(-1.65, -0.58, 0.99);296,8615;355,4047
0;11;15;(-3.20, -1.31, -3.90);(1.26, -1.31, -3.90);118,0429;118,0429
0;12;7;(1.05, 0.74, 0.53);(1.05, 0.74, 0.53);171,0176;248,9533
0;13;23;(2.97, 1.10, 0.91);(-1.74, 1.10, 0.91);37,18183;312,4838
0;14;25;(-3.14, 0.18, -3.13);(-3.14, 0.18, 0.44);39,94798;71,85587
0;15;3;(-2.37, 1.61, -0.45);(1.60, -0.04, -0.45);43,23057;43,23057
0;16;29;(3.35, -1.29, -2.01);(-2.42, -1.24, -1.56);60,73681;229,1703
0;17;24;(1.03, -1.39, -3.44);(3.48, 1.03, -3.44);45,72477;347,8226
0;18;19;(2.98, -0.81, -0.99);(-3.04, -0.81, 0.81);250,0565;250,0565
0;19;2;(-1.96, -0.37, -0.98);(-1.96, -0.37, 3.08);132,4027;132,4027
0;20;21;(0.88, -0.24, -0.56);(-3.36, -1.52, -3.64);276,0888;276,0888
0;21;18;(1.45, 1.41, 1.87);(-3.37, -1.14, 1.87);114,3868;114,3868
0;22;5;(0.71, -1.53, 3.20);(0.71, 0.85, -1.12);138,3516;138,3516
0;23;4;(-1.53, 1.03, -0.30);(-3.41, 1.03, 2.90);317,9647;317,9647
0;24;6;(1.78, -0.70, 1.32);(2.94, 0.74, -2.38);94,04722;94,04723
0;25;9;(-1.25, -1.20, -2.54);(1.33, -1.25, -2.54);206,4055;254,2869
0;26;0;(-3.35, -0.90, -2.51);(-0.22, -0.90, -2.51);327,2159;327,2159
0;27;10;(1.75, 0.76, 2.43);(1.75, 0.76, -3.96);86,33109;228,8042
0;28;28;(-0.14, -0.68, 2.88);(-0.14, 0.74, -3.70);28,55567;56,77783
0;29;12;(-2.78, 1.10, -1.16);(3.29, 1.10, -0.19);303,9136;349,1293
1;30;17;(1.49, -1.02, -0.58);(1.49, -1.02, 3.53);111,6674;111,6674
1;31;5;(-1.92, -0.64, 0.77);(-1.92, -1.23, 3.75);128,3793;128,3793
1;32;11;(-1.63, 1.19, 0.94);(-1.74, -1.36, 0.94);50,21213;305,6146
1;33;10;(-3.00, 1.28, 0.10);(-3.00, 1.28, -2.88);211,3651;247,198
1;34;1;(1.72, -0.76, 3.94);(1.51, 1.72, 3.94);239,0239;239,0239
1;35;29;(-2.96, -1.18, 2.59);(1.14, 1.08, -0.08);68,06704;318,4239
1;36;0;(3.42, 1.30, -2.98);(0.89, 1.30, -2.98);149,7376;149,7376
1;37;23;(-3.37, 0.01, 0.17);(1.33, 0.01, 0.17);113,0528;212,4636
1;38;12;(1.50, -0.83, -0.37);(-2.93, -0.83, 2.96);26,15799;343,6918
1;39;28;(0.35, -1.73, -3.37);(0.35, -1.46, 1.30);28,82659;46,61514
1;40;19;(-0.87, 0.90, 0.46);(2.56, 0.90, 1.50);236,2934;236,2935
1;41;8;(3.41, -1.06, -1.95);(0.67, -1.06, -1.95);158,1203;338,6812
1;42;2;(-0.82, -0.76, 1.09);(-0.82, -0.76, -2.89);167,8216;167,8217
1;43;16;(-1.69, 1.69, -3.21);(-0.31, -1.69, -3.21);322,8862;322,8862
1;44;9;(1.59, 0.11, 3.17);(-3.31, 1.59, 3.17);189,6486;325,2504
1;45;22;(3.04, -1.45, -1.53);(3.04, -1.45, -1.53);2,433965;103,4821
1;46;13;(-2.17, -0.93, -1.90);(-2.17, 0.04, 2.15);318,3027;345,7284
1;47;25;(-1.07, 0.74, -3.49);(-1.07, 0.74, 0.25);103,044;316,5884
1;48;14;(-2.88, 0.30, 3.54);(2.69, -0.93, -2.35);58,65615;139,2816
1;49;15;(1.98, 0.91, 2.75);(-1.93, 0.91, 2.75);300,6614;300,6614
1;50;6;(3.35, 0.89, 2.01);(-3.39, 1.11, -0.99);143,2332;143,2332
1;51;4;(2.89, 1.49, 1.61);(-0.68, 1.49, -2.87);331,2872;331,2872
1;52;26;(-3.44, 0.10, 3.39);(-0.24, 1.63, 3.39);16,92901;334,5311
