BlockID;TrialID;Config;StopWatch
0;0;14;0,6151326
0;1;11;0,5859535
0;2;20;0,6390734
0;3;16;0,4823627
0;4;17;0,4679151
0;5;13;0,3928628
0;6;27;0,4303355
0;7;8;0,3904562
0;8;1;0,3914924
0;9;22;0,4099288
0;10;26;0,4353719
0;11;15;0,3992796
0;12;7;4,33762
0;13;23;1,614194
0;14;25;3,227184
0;15;3;0,6091824
0;16;29;0,4411297
0;17;24;40,14452
0;18;19;2,395172
0;19;2;0,549015
0;20;21;0,3739319
0;21;18;0,5015144
0;22;5;0,3904114
0;23;4;0,4030533
0;24;6;0,3627625
0;25;9;0,4201889
0;26;0;0,3621368
0;27;10;0,423378
0;28;28;0,4684219
0;29;12;0,4286423
1;30;17;0,3477554
1;31;5;0,3677139
1;32;11;0,4126511
1;33;10;0,3875122
1;34;1;0,364502
1;35;29;0,6603546
1;36;0;0,5127029
1;37;23;0,3800659
1;38;12;0,4245834
1;39;28;0,3233261
1;40;19;0,3380051
1;41;8;0,3642731
1;42;2;0,3614502
1;43;16;0,3390274
1;44;9;0,3990097
1;45;22;0,4231491
1;46;13;0,310997
1;47;25;0,3385162
1;48;14;5,333069
1;49;15;0,3228912
1;50;6;0,2973251
1;51;4;0,3693466
1;52;26;0,237175
1;53;7;0,2528763
1;54;21;0,2123642
1;55;24;0,1621704
1;56;27;0,1314011
1;57;20;0,3149033
1;58;3;0,6057205
1;59;18;0,1949081
2;60;7;0,1207504
2;61;21;0,07411194
2;62;24;0,1186371
2;63;9;0,5441513
2;64;3;0,1733093
2;65;15;0,09066772
2;66;26;0,1198959
2;67;13;0,1143036
2;68;1;0,9502029
2;69;22;0,7776337
2;70;20;0,6622696
2;71;0;0,5982971
2;72;17;0,4691162
2;73;16;0,4557877
2;74;27;0,4710922
2;75;23;0,3806305
2;76;11;0,4454041
2;77;25;0,4343567
2;78;29;0,3312912
2;79;6;0,3758316
2;80;5;0,2864914
2;81;14;0,2924194
2;82;10;0,3136749
2;83;19;0,3255463
2;84;18;0,3528976
2;85;12;0,3513412
2;86;8;0,2833405
2;87;2;0,3440857
2;88;28;0,3586349
2;89;4;0,3382111
