BlockID;TrialID;Config;StopWatch
0;0;1;3,133586
0;1;2;0,8613904
0;2;0;1,139719
1;3;0;0,8275185
1;4;1;0,6860671
1;5;2;0,6261425
2;6;1;0,5539722
2;7;2;0,4118156
2;8;0;0,4609833
3;9;2;0,5356312
3;10;1;0,5466623
3;11;0;0,5221701
4;12;0;0,3945351
4;13;2;0,4439182
4;14;1;0,8980427
5;15;1;0,3452625
5;16;2;0,520071
5;17;0;0,3947868
6;18;2;0,498888
6;19;0;0,4016037
6;20;1;0,4324532
7;21;2;0,6064434
7;22;0;0,4541836
7;23;1;0,4058857
8;24;0;0,364357
8;25;2;0,4088707
8;26;1;0,4296207
9;27;1;0,409523
9;28;0;0,5176144
9;29;2;0,3197632
10;30;0;0,4966679
10;31;1;0,5189781
10;32;2;0,3570614
11;33;1;0,4574432
11;34;2;0,4977684
11;35;0;0,4665146
12;36;0;0,4744682
12;37;2;0,7878819
12;38;1;0,4337807
13;39;2;0,458952
13;40;0;0,4075584
13;41;1;0,438736
14;42;1;0,414505
14;43;0;0,4389305
14;44;2;0,2975864
15;45;0;0,3478527
15;46;1;0,4410362
15;47;2;0,3374996
16;48;0;0,3839493
16;49;2;0,3267517
16;50;1;0,4903297
17;51;1;0,4981461
17;52;0;0,5791817
17;53;2;0,5288315
18;54;1;0,4506798
18;55;0;0,4926643
18;56;2;0,4071503
19;57;1;0,4699593
19;58;2;0,4387321
19;59;0;0,5700455
