BlockID;TrialID;Config;Position
0;0;0;(-0.25, -1.92, -0.90)
0;1;2;(2.41, 1.05, 1.35)
0;2;1;(1.55, -0.67, -2.66)
1;3;1;(-3.20, -1.11, -1.43)
1;4;0;(1.16, -0.54, 1.37)
1;5;2;(3.59, -1.66, -4.48)
2;6;1;(2.34, -0.07, 3.97)
2;7;0;(-2.90, -1.65, -3.22)
2;8;2;(-0.99, 0.92, 3.21)
3;9;1;(1.43, 1.91, 1.55)
3;10;0;(2.92, -1.42, 1.21)
3;11;2;(2.97, -1.72, 2.34)
4;12;1;(4.63, 1.26, 1.42)
4;13;2;(4.44, -1.11, -2.60)
4;14;0;(-0.80, -1.30, -1.95)
5;15;1;(-1.01, 0.11, -3.30)
5;16;2;(0.85, -1.12, -2.61)
5;17;0;(3.39, -1.68, -1.61)
6;18;1;(1.29, 0.04, -4.05)
6;19;2;(-3.14, 1.10, -1.74)
6;20;0;(-2.30, -1.50, -3.12)
7;21;2;(1.77, 1.01, 2.77)
7;22;0;(-1.65, 0.58, 1.66)
7;23;1;(-4.85, -0.74, 0.30)
8;24;0;(3.07, -0.22, -1.76)
8;25;2;(-0.75, 0.99, 1.89)
8;26;1;(-0.37, 0.72, -4.07)
9;27;1;(1.88, 1.31, -3.66)
9;28;0;(4.26, -0.49, -2.45)
9;29;2;(-2.15, 1.20, -4.37)
10;30;0;(-0.84, 0.79, 0.76)
10;31;2;(-3.46, -0.76, 4.80)
10;32;1;(-4.12, -0.77, 2.21)
11;33;1;(1.88, -0.60, 0.60)
11;34;0;(3.25, 0.18, 2.61)
11;35;2;(-3.20, 0.19, 1.80)
12;36;1;(1.23, -0.37, -1.29)
12;37;2;(1.52, -0.33, 3.53)
12;38;0;(1.73, 1.00, -1.26)
13;39;0;(-1.21, 0.89, -3.80)
13;40;1;(3.41, 0.44, 1.98)
13;41;2;(3.93, -0.31, -0.65)
14;42;0;(-0.86, 0.68, 3.28)
14;43;1;(-4.67, 0.67, 1.52)
14;44;2;(2.62, 0.22, -2.09)
15;45;2;(0.34, 1.67, 2.01)
15;46;1;(2.51, 0.44, 2.51)
15;47;0;(-2.63, -0.36, -1.62)
16;48;1;(3.72, -1.82, -3.23)
16;49;2;(-2.96, 1.98, 4.13)
16;50;0;(0.16, -0.34, 1.64)
17;51;0;(0.96, -0.92, 1.85)
17;52;2;(3.19, 1.71, 0.01)
17;53;1;(3.87, -1.55, -3.52)
18;54;2;(-3.86, -0.30, -3.10)
18;55;1;(-0.87, 0.17, -4.80)
18;56;0;(0.15, -0.96, 0.73)
19;57;2;(2.87, -1.85, 4.70)
19;58;1;(2.71, 0.99, 3.51)
19;59;0;(1.57, -1.17, 2.97)
