BlockID;TrialID;Config;Position
0;0;2;(1.71, 1.66, 2.40)
0;1;1;(-1.25, 0.48, -4.85)
0;2;0;(-1.00, -1.85, -2.13)
1;3;1;(-3.00, 0.88, -4.23)
1;4;2;(-3.02, 0.35, -1.44)
1;5;0;(-3.24, 0.66, 0.52)
2;6;2;(-3.14, 0.58, 1.96)
2;7;1;(-3.11, 0.69, 3.19)
2;8;0;(0.79, -0.63, -2.23)
3;9;0;(1.75, -2.24, -4.28)
3;10;2;(-0.49, -2.37, 0.67)
3;11;1;(3.31, 2.04, 3.11)
4;12;1;(-0.25, 0.39, -4.35)
4;13;0;(3.07, -0.43, -0.58)
4;14;2;(3.84, 1.91, 0.12)
5;15;1;(3.61, -0.99, -1.88)
5;16;2;(3.08, -0.95, -2.26)
5;17;0;(2.89, 0.58, -3.35)
