User;Condition;Mental Demand;Physical Demand;Temporal Demand;Effort;Performance;Frustration;
User1;Hand;13;6;1;18;1;15;
User2;Hand;4;4;3;9;9;17;
User3;Hand;6;8;9;7;17;4;
User4;Hand;3;2;2;1;3;2;
User5;Hand;5;12;4;5;2;1;
User6;Hand;4;2;5;4;1;2;
User7;Hand;3;5;3;2;5;5;
User8;Hand;3;2;2;2;2;1;
User9;Hand;3;1;2;2;1;4;
User10;Hand;3;1;10;4;4;1;
User11;Hand;7;3;6;7;3;4;
User12;Hand;7;7;9;5;1;1;
User13;Hand;7;5;2;2;19;1;
User14;Hand;4;2;2;2;4;1;
User15;Hand;13;1;8;10;4;1;
User16;Hand;1;1;3;3;4;2;
User17;Hand;1;14;1;15;1;1;
User18;Hand;17;2;11;18;17;4;
User19;Hand;7;3;1;6;4;2;
User20;Hand;5;9;11;12;9;6;
User1;3DMouse;6;1;9;17;17;7;
User2;3DMouse;18;5;11;13;15;4;
User3;3DMouse;8;1;11;12;14;7;
User4;3DMouse;7;4;3;6;3;2;
User5;3DMouse;6;13;7;5;12;11;
User6;3DMouse;5;2;4;4;3;2;
User7;3DMouse;4;2;5;7;3;3;
User8;3DMouse;12;3;16;18;12;13;
User9;3DMouse;5;1;2;2;1;1;
User10;3DMouse;2;1;10;3;2;1;
User11;3DMouse;6;4;1;6;4;2;
User12;3DMouse;11;6;11;9;5;11;
User13;3DMouse;17;1;1;17;16;5;
User14;3DMouse;11;11;6;9;4;6;
User15;3DMouse;8;3;10;8;8;1;
User16;3DMouse;9;2;6;6;5;7;
User17;3DMouse;13;3;1;3;1;5;
User18;3DMouse;17;4;14;18;9;14;
User19;3DMouse;12;7;9;12;7;11;
User20;3DMouse;6;3;14;9;15;4;
