BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;6;0.1849;1.2144;-1.1399;-2.3314;1.0594;-1.2346;-2.2968;33.93592;33.93591
0;1;3;1.3565;-2.7367;1.1615;3.4607;-1.7741;1.3991;2.5348;281.6518;281.6518
0;2;2;5.9171;-1.8812;-0.2515;-2.7497;-2.4719;-0.1846;3.1374;157.711;157.711
0;3;1;2.0676;1.1340;-0.6473;-2.2898;0.8571;1.4000;-2.2076;157.5328;157.5328
0;4;0;0.1446;2.7218;-0.6147;1.1627;2.6992;-0.4724;1.1507;17.27514;17.27514
0;5;4;0.3382;1.1183;-0.6437;0.8565;1.0155;-0.9077;0.6718;131.3731;131.3731
0;6;5;4.6553;2.6021;0.2094;-0.1457;-1.6914;-0.7580;1.3718;62.91561;62.91561
1;7;0;0.1025;2.6933;0.3450;0.9708;2.6822;0.4400;1.0077;127.5364;127.5364
1;8;6;0.2902;0.6355;0.1154;-1.5444;0.8721;0.2780;-1.5023;181.6617;181.6617
1;9;1;3.4348;0.1192;-0.0839;1.6472;1.5713;1.2802;-1.1507;293.833;293.833
1;10;2;0.0866;0.1394;0.8342;-2.2910;0.1531;0.8342;-2.3765;52.91244;52.91243
1;11;3;0.1413;2.8964;1.2982;-1.1196;2.9914;1.4000;-1.0956;165.7641;165.7641
1;12;5;3.0243;-1.5563;1.1362;-0.0005;-1.0398;-0.5515;2.4554;172.1138;172.1138
1;13;4;0.0977;2.9731;0.6988;-0.9352;2.9786;0.6654;-0.8435;135.1821;135.1821
2;14;5;0.1054;1.3711;1.1226;3.3649;1.4131;1.0314;3.3329;268.1497;268.1497
2;15;4;3.1358;-0.4381;0.5782;-1.2125;-2.7478;-1.4000;-1.9771;12.81023;12.81023
2;16;0;2.5269;0.9491;-1.1705;0.1256;2.0592;-0.8802;2.3770;323.8806;323.8806
2;17;1;1.8267;-0.3606;0.9634;-1.0160;-1.2509;1.0491;-2.6088;120.667;120.667
2;18;2;0.3959;1.5827;-1.1649;3.0869;1.8776;-0.9009;3.0785;323.917;323.917
2;19;6;0.1854;0.6747;0.2334;1.4172;0.8151;0.1310;1.4818;52.89715;52.89715
2;20;3;0.0670;-2.7641;-0.6511;-1.1984;-2.7420;-0.7134;-1.2087;304.2549;304.2549
