BlockID;TrialID;Config;StopWatch
0;0;0;1.511209
0;1;2;1.962576
0;2;1;0.7777214
1;3;2;2.650578
1;4;0;0.9721146
1;5;1;1.175182
2;6;2;1.499117
2;7;0;1.419029
2;8;1;1.119926
3;9;2;1.690659
3;10;0;0.9421158
3;11;1;1.408627
4;12;2;1.759598
4;13;0;0.9290924
4;14;1;0.9835434
5;15;2;2.009254
5;16;1;1.003551
5;17;0;2.296513
6;18;1;1.044262
6;19;0;1.956299
6;20;2;1.474922
7;21;0;1.35482
7;22;2;1.880733
7;23;1;1.260326
8;24;2;1.404041
8;25;0;1.484505
8;26;1;0.6698608
9;27;1;1.228661
9;28;2;1.515472
9;29;0;1.394203
10;30;1;0.8715744
10;31;0;1.156197
10;32;2;1.764084
11;33;0;1.63961
11;34;1;1.224937
11;35;2;1.65683
12;36;2;1.114731
12;37;1;1.85318
12;38;0;1.302628
13;39;0;1.396889
13;40;1;1.063095
13;41;2;1.531357
14;42;2;1.599777
14;43;1;1.192085
14;44;0;1.285126
15;45;1;1.132408
15;46;0;1.579041
15;47;2;1.105621
16;48;2;1.909767
16;49;1;0.9208908
16;50;0;0.891922
17;51;1;0.9922714
17;52;2;0.7421265
17;53;0;1.090897
18;54;1;1.044556
18;55;0;0.947113
18;56;2;0.9733658
19;57;2;0.8288422
19;58;0;1.144035
19;59;1;0.7659531
