BlockID;TrialID;Config;Position
0;0;1;(-2.75, -0.74, -2.60)
0;1;2;(0.47, 0.02, 0.06)
0;2;0;(-1.28, 0.52, -3.78)
1;3;1;(2.76, -1.18, -1.83)
1;4;2;(2.30, 1.34, -2.78)
1;5;0;(1.31, -0.42, 3.22)
2;6;0;(-0.38, 0.27, -1.38)
2;7;1;(2.87, -1.64, 3.21)
2;8;2;(-1.16, -1.21, -1.72)
3;9;1;(-0.73, 0.11, 3.08)
3;10;0;(0.86, -0.61, -3.48)
3;11;2;(-3.21, -1.14, 2.70)
4;12;2;(1.59, -0.10, -2.32)
4;13;1;(2.67, -1.54, 3.74)
4;14;0;(-2.55, -0.95, 1.23)
5;15;2;(-2.23, 1.41, 1.81)
5;16;0;(0.09, -1.72, 0.49)
5;17;1;(2.10, 0.22, -3.54)
6;18;0;(-1.63, 0.99, -3.04)
6;19;1;(1.30, 0.72, 2.61)
6;20;2;(-1.39, 1.38, -2.94)
7;21;0;(2.86, -0.74, -2.53)
7;22;1;(-0.91, 1.34, 2.87)
7;23;2;(-1.46, 0.76, 2.87)
8;24;0;(-3.04, -0.96, 0.32)
8;25;2;(-1.26, -0.72, -1.00)
8;26;1;(3.35, -0.63, 2.11)
9;27;1;(-1.77, -1.33, -3.40)
9;28;2;(-0.64, -0.07, 1.76)
9;29;0;(1.42, -0.41, 0.87)
10;30;0;(1.14, 0.98, 2.37)
10;31;1;(-3.12, -1.42, -2.64)
10;32;2;(1.55, -1.13, -4.00)
11;33;0;(-3.38, 0.39, 0.93)
11;34;1;(2.78, 0.11, 3.57)
11;35;2;(1.89, -0.74, -3.15)
12;36;1;(-3.32, 1.54, -1.89)
12;37;0;(-1.11, 1.69, -1.94)
12;38;2;(-1.99, 0.50, 3.17)
13;39;1;(1.36, -0.04, -1.59)
13;40;2;(1.72, -0.07, -0.90)
13;41;0;(-1.79, -1.20, -2.56)
14;42;1;(-3.22, 1.23, 3.92)
14;43;2;(-1.66, -1.11, 0.36)
14;44;0;(1.61, 0.12, -3.90)
15;45;2;(-2.04, -0.33, 1.22)
15;46;1;(2.60, -0.37, -1.76)
15;47;0;(2.43, -0.85, 3.59)
16;48;0;(-3.28, -1.67, 1.64)
16;49;1;(0.80, 0.73, 3.75)
16;50;2;(-2.48, -1.61, -0.58)
17;51;1;(-0.71, 0.84, -3.69)
17;52;0;(-2.64, 0.36, -0.79)
17;53;2;(-2.93, -1.20, 0.20)
18;54;0;(-1.72, 0.58, -1.77)
18;55;2;(-0.28, 0.02, -0.54)
18;56;1;(0.05, 1.11, 0.71)
19;57;0;(-0.59, -1.27, 0.16)
19;58;1;(-0.65, 1.58, -2.24)
19;59;2;(-3.44, -1.02, 0.98)
