BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;3;5.616999;0.9061003;0
0;1;6;3.833862;0.7064549;0
0;2;0;3.464542;0.5115996;0
0;3;2;5.867464;1.008579;0
0;4;5;3.229378;0.5643787;0
0;5;4;5.986576;0.8343045;0
0;6;1;6.15992;0.6870422;0
1;7;2;7.036373;0.8216182;0
1;8;5;3.717552;0.3585483;0
1;9;4;3.668663;0.6421919;0
1;10;0;4.790173;0.4621577;0
1;11;3;7.710915;0.7867342;0
1;12;1;3.699097;0.4004895;0
1;13;6;3.487396;0.5584618;0
2;14;6;7.926186;1.002638;0
2;15;2;3.668968;0.6245582;0
2;16;1;5.593948;0.6890264;0
2;17;3;3.122475;0.3879407;0
2;18;5;4.825516;0.9101133;0
2;19;4;5.799149;1.181645;0
2;20;0;4.999115;0.4907406;0
