BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;3;5.670847;2.035632;0
0;1;0;4.35148;1.587217;0
0;2;4;3.335838;1.45903;0
0;3;6;3.185982;1.22095;0
0;4;1;3.884045;1.588836;0
0;5;5;2.78611;0.7961319;0
0;6;2;2.894112;1.181755;0
1;7;0;3.292797;1.40459;0
1;8;5;3.016823;0.8320991;0
1;9;4;2.897957;1.636554;0
1;10;1;2.916676;1.447974;0
1;11;6;2.758305;1.978289;0
1;12;3;2.791862;1.27206;0
1;13;2;2.979004;1.904291;0
2;14;5;3.121544;1.782741;0
2;15;3;3.190392;5.631231;0
2;16;6;5.098946;7.709313;0
2;17;0;3.690208;4.453413;0
2;18;1;3.408356;2.889208;0
2;19;4;4.68177;60.94201;0
2;20;2;2.961563;1.399921;0
