BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;2;11.36046;1.645455;0
0;1;3;7.097132;0.8823144;0
0;2;6;15.37588;1.038536;0
0;3;5;6.596478;0.6890338;0
0;4;1;11.35157;1.260522;0
0;5;4;14.39375;1.158365;0
0;6;0;8.300156;0.6596496;0
1;7;0;10.77576;0.6902568;0
1;8;1;10.36657;0.6361569;0
1;9;2;13.67823;1.036293;0
1;10;5;13.01598;0.8145158;0
1;11;4;10.67494;1.521593;0
1;12;3;12.97824;0.7643318;0
1;13;6;12.78011;1.1755;0
2;14;6;9.661179;0.7041524;0
2;15;1;9.60849;0.6515378;0
2;16;0;10.40108;0.9128323;0
2;17;3;10.53247;0.8547589;0
2;18;5;13.76732;0.9943761;0
2;19;4;18.72588;1.751788;0
2;20;2;11.18364;0.9827338;0
