BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;2;9.639394;4.162492;0
0;1;5;5.902073;4.071686;0
0;2;4;8.745741;2.472133;0
0;3;1;7.122456;3.391505;0
0;4;6;6.704479;1.838666;0
0;5;3;8.359638;6.395001;0
0;6;0;6.770836;2.970967;0
1;7;5;9.640038;9.480629;0
1;8;0;7.21962;1.456216;0
1;9;1;6.48558;1.972242;0
1;10;3;11.58192;3.142515;0
1;11;6;6.829254;2.024799;0
1;12;2;7.914268;1.686348;0
1;13;4;5.926605;2.453722;0
2;14;1;9.358009;2.795948;0
2;15;5;6.142609;1.519505;0
2;16;0;6.582855;1.30548;0
2;17;3;7.057419;1.83626;0
2;18;2;7.147064;40.48296;0
2;19;6;4.991852;2.997291;0
2;20;4;4.883301;1.020717;0
