BlockID;TrialID;Config;StopWatch
0;0;1;1.645363
0;1;2;1.646898
0;2;0;2.268539
1;3;1;1.420475
1;4;2;0.8654327
1;5;0;0.6454659
2;6;0;1.802444
2;7;2;1.90266
2;8;1;1.613117
3;9;2;1.712418
3;10;1;1.239445
3;11;0;1.295456
4;12;0;1.051662
4;13;1;1.130188
4;14;2;0.582962
5;15;2;1.933422
5;16;0;1.462212
5;17;1;2.103508
6;18;2;1.769756
6;19;0;1.756435
6;20;1;2.371929
7;21;1;2.517426
7;22;0;3.023979
7;23;2;3.288422
8;24;0;2.221916
8;25;1;0.970192
8;26;2;1.031609
9;27;2;3.284821
9;28;1;0.8862915
9;29;0;1.067085
10;30;2;4.635338
10;31;0;2.643227
10;32;1;2.544868
11;33;1;2.323166
11;34;2;1.192062
11;35;0;1.344315
12;36;2;3.253052
12;37;1;1.161125
12;38;0;1.780624
13;39;2;1.360352
13;40;1;1.820702
13;41;0;1.562492
14;42;2;0.8616104
14;43;1;1.520813
14;44;0;0.7975693
15;45;0;0.5655746
15;46;1;1.949982
15;47;2;1.349274
16;48;0;1.147827
16;49;1;1.319481
16;50;2;0.8911362
17;51;2;1.09507
17;52;0;1.819435
17;53;1;1.440483
18;54;2;1.439003
18;55;0;0.8861237
18;56;1;2.159462
19;57;2;1.844894
19;58;0;1.086899
19;59;1;0.8010254
