BlockID;TrialID;Config;Position
0;0;0;(-1.57, 1.44, 1.23)
0;1;1;(2.26, -1.20, 3.82)
0;2;2;(1.38, -1.72, -1.88)
1;3;1;(-3.18, 0.00, 2.10)
1;4;2;(-1.29, 0.16, -3.94)
1;5;0;(-1.64, 1.30, 0.03)
2;6;1;(-3.49, -0.08, -3.07)
2;7;2;(0.95, 0.35, 2.52)
2;8;0;(-1.87, -1.71, 1.96)
3;9;0;(0.59, 0.84, 0.48)
3;10;1;(-1.90, -1.66, -1.54)
3;11;2;(-1.69, -0.10, 2.61)
4;12;1;(0.40, -1.70, -0.84)
4;13;2;(2.91, 0.68, 2.06)
4;14;0;(-1.14, 1.10, 0.12)
5;15;2;(-3.40, -0.87, 3.11)
5;16;1;(-0.42, -0.06, -3.48)
5;17;0;(2.70, 0.92, -2.38)
6;18;2;(1.48, 1.45, 0.91)
6;19;1;(3.30, -1.03, -3.96)
6;20;0;(-1.99, -0.25, -0.76)
7;21;0;(1.67, 0.55, -2.97)
7;22;2;(-2.36, -1.25, 1.12)
7;23;1;(2.37, 0.19, -1.95)
8;24;0;(3.19, -1.60, 3.17)
8;25;2;(-3.27, 0.73, -2.91)
8;26;1;(3.32, -1.32, 3.34)
9;27;1;(3.18, -1.00, -1.11)
9;28;2;(-1.72, -1.06, -2.84)
9;29;0;(2.05, 0.81, 3.58)
10;30;2;(-1.85, 1.66, -0.10)
10;31;1;(3.30, -1.75, 3.34)
10;32;0;(-2.27, -0.44, -0.04)
11;33;2;(1.26, 1.20, -0.62)
11;34;1;(-2.94, 0.60, 3.20)
11;35;0;(0.60, -0.27, -0.44)
12;36;0;(-1.73, -1.37, -2.77)
12;37;2;(1.59, 1.27, -0.80)
12;38;1;(-1.98, -1.50, 2.80)
13;39;1;(-1.03, -0.12, -2.37)
13;40;2;(1.64, -0.31, 3.98)
13;41;0;(0.48, -0.87, -1.24)
14;42;1;(2.67, 1.19, 2.57)
14;43;2;(-2.81, -1.43, 3.74)
14;44;0;(-2.60, -1.67, -0.91)
15;45;1;(0.43, 0.78, 0.21)
15;46;0;(2.75, -1.13, -2.93)
15;47;2;(-1.66, 0.73, 2.70)
16;48;1;(2.31, -1.06, -1.39)
16;49;2;(1.93, 1.56, -3.84)
16;50;0;(1.55, -0.75, 3.56)
17;51;0;(1.27, 1.52, 1.64)
17;52;2;(-0.59, -1.37, 0.69)
17;53;1;(-3.11, 0.70, 3.60)
18;54;2;(-0.12, 1.05, 1.74)
18;55;1;(-1.50, 1.39, -2.49)
18;56;0;(-1.95, -1.23, -3.82)
19;57;0;(2.19, 1.14, -3.74)
19;58;1;(-2.02, 1.09, -1.41)
19;59;2;(-0.35, -1.49, 0.39)
