BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;4;0.8730;0.0673;-1.0379;-2.5401;-0.0184;-0.1917;-2.7368;6.248432;6.248432
0;1;6;0.2834;-2.5292;0.3787;-3.0967;-2.6588;0.1284;-3.0672;16.58511;16.58511
0;2;5;3.7100;-0.0344;0.4267;-1.7536;1.5427;-0.2344;1.5388;127.9548;127.9548
0;3;2;0.0563;2.4730;-0.6502;-1.2961;2.4746;-0.6963;-1.3283;197.604;197.604
0;4;3;1.7364;-1.4699;1.3276;2.5092;-1.9954;-0.3269;2.5490;352.1067;352.1067
0;5;0;0.2108;2.6181;-0.6332;3.3360;2.8128;-0.6105;3.4134;339.9087;339.9087
0;6;1;3.0256;0.6386;-0.6728;0.1526;1.0352;0.0933;3.0526;241.3038;241.3038
1;7;2;0.5534;-1.8011;0.8436;2.6514;-2.0188;0.6200;3.1085;1.745153;1.745153
1;8;0;2.2484;2.9478;-1.2367;0.2517;1.0963;-1.1972;1.5266;245.5549;245.5549
1;9;5;0.5267;-1.6499;-1.2867;3.4545;-1.9952;-1.4485;3.0913;10.96444;10.96444
1;10;3;0.5336;-1.1591;-0.5987;1.3899;-1.1216;-0.8606;1.8533;46.41728;46.41728
1;11;6;1.7388;0.5465;-1.2378;-1.2740;0.6948;0.1108;-0.1864;53.52028;53.52028
1;12;1;2.2474;0.8349;-0.0443;-0.4567;0.3778;-0.4896;-2.6116;63.62101;63.62101
1;13;4;4.4194;-0.1666;0.8317;0.5182;-2.4537;0.0243;-3.1762;328.8572;328.8572
2;14;5;4.9746;1.7767;0.6528;2.6730;2.6810;-0.3600;-2.1128;83.62489;83.62489
2;15;2;0.2289;-0.0539;-0.9997;3.3850;-0.1527;-1.1383;3.5381;157.9321;157.9321
2;16;0;4.2021;-0.5879;0.5076;2.9883;2.1661;-0.3311;-0.0727;290.1601;290.1601
2;17;3;0.5135;-1.8622;0.1232;2.1373;-2.0717;-0.3413;2.2011;345.8152;345.8152
2;18;1;1.0421;-0.8010;0.9991;0.2245;-1.2604;0.0646;0.2667;325.9073;325.9073
2;19;4;0.3940;0.2594;0.1835;1.3714;0.3435;-0.1214;1.6063;81.18262;81.18262
2;20;6;0.3488;0.7364;-1.1639;-2.5200;1.0790;-1.1007;-2.5361;81.55031;81.55031
