BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;3;5.5926;1.4512;1.1857;3.4622;-1.8874;-1.1240;-0.3843;205.7482;205.7482
0;1;2;4.1754;1.4150;0.2762;0.3709;-1.8540;0.9697;2.8741;33.2912;33.29119
0;2;4;0.3689;2.6639;-0.0924;-2.7347;2.9211;0.1424;-2.6131;328.8285;328.8285
0;3;6;0.4523;1.7687;-1.0828;2.0193;2.0930;-0.7677;2.0311;77.98444;77.98444
0;4;0;0.2112;-1.5749;0.7800;-0.8968;-1.6647;0.6052;-0.9739;253.2177;253.2177
0;5;5;1.6795;-1.7444;0.0433;-0.4295;-0.6660;-1.0529;0.2460;282.9799;282.9799
0;6;1;5.3234;-0.6185;0.8996;3.0773;1.8643;1.0177;-1.6302;3.844915;3.844915
1;7;6;5.9605;1.9159;0.7458;-0.9621;-2.3665;-0.4167;3.0176;48.33397;48.33397
1;8;1;3.7563;-0.7704;-1.0319;0.2111;0.9851;-0.6185;-3.0839;4.224973;4.224973
1;9;2;0.2908;-1.4932;0.9700;-2.3086;-1.4024;0.6948;-2.2836;208.1317;208.1317
1;10;0;0.3450;2.5711;-0.7108;-1.4503;2.7967;-0.5068;-1.2874;325.1961;325.1961
1;11;4;0.4400;-0.4685;0.9210;3.3032;-0.1761;1.2406;3.2259;34.10384;34.10384
1;12;5;0.4286;-1.5987;0.1570;2.9196;-1.3990;0.5358;2.9036;284.8978;284.8978
1;13;3;4.6939;0.5156;-0.6817;1.9008;1.7603;1.4000;-2.1179;20.44195;20.44195
2;14;2;0.4193;0.1514;0.3061;-0.4347;0.5131;0.4835;-0.5508;165.457;165.457
2;15;6;0.1521;1.2641;-1.3809;-1.4134;1.1330;-1.4000;-1.4880;246.1946;246.1946
2;16;4;0.2384;0.5788;0.8349;2.7042;0.7054;0.7589;2.8914;19.69647;19.69647
2;17;5;0.0904;2.0796;-1.2881;-2.2866;2.1242;-1.2098;-2.2940;24.9633;24.9633
2;18;1;0.1728;1.0972;-0.5313;-0.1984;1.2410;-0.6220;-0.1676;341.4587;341.4587
2;19;0;0.1153;2.5821;-0.3249;-1.7120;2.6456;-0.3858;-1.7865;237.1876;237.1876
2;20;3;0.3153;2.7658;0.9360;-2.2627;3.0000;1.1437;-2.2250;82.6244;82.6244
