BlockID;TrialID;Config;Position
0;0;0;(-2.28, -1.56, 3.93)
0;1;2;(-1.41, 0.90, 2.48)
0;2;1;(2.71, 0.12, 2.67)
1;3;1;(-3.06, 0.36, 0.11)
1;4;2;(-1.71, -1.53, -3.88)
1;5;0;(0.61, -0.34, -3.81)
2;6;1;(0.71, -1.10, 3.84)
2;7;2;(-0.01, -1.02, 1.41)
2;8;0;(2.90, -0.38, -1.52)
3;9;0;(-1.21, 0.71, 3.30)
3;10;1;(0.96, -1.34, 0.33)
3;11;2;(-2.88, -0.85, 2.27)
4;12;2;(-0.50, 0.48, 2.03)
4;13;1;(-1.65, -1.24, -1.04)
4;14;0;(-3.03, 1.17, -0.83)
5;15;1;(-0.67, -0.56, 3.57)
5;16;0;(2.49, 1.32, 1.40)
5;17;2;(3.05, -1.02, -1.97)
6;18;1;(0.18, 1.27, -2.46)
6;19;2;(-0.15, 0.65, 3.38)
6;20;0;(0.95, -0.08, -0.85)
7;21;2;(1.17, 1.44, -1.06)
7;22;1;(-3.42, 0.65, -2.13)
7;23;0;(-0.86, 1.20, 0.73)
8;24;2;(1.22, -1.17, -2.31)
8;25;1;(-2.83, -1.21, 2.53)
8;26;0;(-1.10, 1.18, -2.03)
9;27;2;(1.20, 1.04, -3.80)
9;28;1;(-3.08, -0.13, -2.15)
9;29;0;(1.33, 1.06, -1.28)
10;30;2;(-1.92, -0.06, -1.94)
10;31;0;(-0.35, -1.46, 0.54)
10;32;1;(-0.63, 0.68, -3.15)
11;33;0;(2.98, 0.85, 3.79)
11;34;2;(-0.49, -1.34, 1.67)
11;35;1;(2.20, 0.54, -3.59)
12;36;1;(-1.85, 0.43, -2.42)
12;37;0;(-0.28, 0.50, 3.31)
12;38;2;(2.19, -0.81, -2.64)
13;39;1;(-0.89, -1.01, -0.24)
13;40;0;(1.93, -1.27, 3.66)
13;41;2;(0.52, 1.06, -0.68)
14;42;2;(-2.40, -1.43, 1.50)
14;43;0;(-2.96, 0.03, -3.86)
14;44;1;(2.39, -0.50, 3.26)
15;45;0;(-2.72, 1.15, -0.22)
15;46;2;(2.16, -0.09, 3.57)
15;47;1;(-1.04, 0.93, -2.25)
16;48;2;(0.93, 1.57, -2.46)
16;49;0;(-1.81, 0.46, 0.83)
16;50;1;(-0.72, -1.02, -2.69)
17;51;0;(-1.06, -0.55, 3.14)
17;52;1;(-2.73, -0.40, -1.04)
17;53;2;(-2.01, -0.61, -3.17)
18;54;1;(1.00, -0.40, 2.93)
18;55;2;(-1.73, 0.73, -2.03)
18;56;0;(-2.83, -0.86, -0.10)
19;57;0;(-1.13, 0.84, 3.50)
19;58;1;(-0.88, 0.90, -2.13)
19;59;2;(-3.38, 1.08, 0.39)
