BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;0;0.3923;-2.1508;-1.2941;-1.0785;-1.8487;-1.0781;-0.9521;69.0341;69.0341
0;1;4;0.3320;-2.4141;-0.0145;-1.1726;-2.1174;0.0915;-1.0679;303.3532;303.3532
0;2;5;0.2847;-2.9519;0.2698;-0.6048;-2.7315;0.0926;-0.6371;95.04193;95.04193
0;3;3;0.1387;-1.0540;-0.9638;-0.1159;-0.9430;-0.9257;-0.0421;75.32098;75.32098
0;4;2;0.2879;-2.1284;-1.2892;-2.8323;-1.8742;-1.1686;-2.7713;156.3645;156.3645
0;5;6;0.0985;2.5509;0.4646;-3.3229;2.5725;0.3804;-3.3692;117.1589;117.1589
0;6;1;0.3861;-1.3700;-1.2470;-3.2761;-1.3221;-0.9064;-3.1007;145.0049;145.0049
1;7;6;0.6415;-0.6342;-1.3336;-3.0830;-0.6405;-0.8776;-2.6318;302.9221;302.9221
1;8;0;0.2555;-2.5953;-1.2677;1.0023;-2.4634;-1.2166;0.7895;282.4844;282.4844
1;9;2;0.4217;-0.2149;0.2746;-2.0253;-0.1089;0.1839;-1.6274;33.70627;33.70627
1;10;4;0.1771;0.1010;-0.5586;2.2057;0.1691;-0.3955;2.2169;152.9076;152.9076
1;11;1;1.2192;1.2559;-1.3497;-0.8131;1.0544;-0.2572;-0.3109;306.2323;306.2323
1;12;3;0.2346;-2.7814;0.7255;-2.3937;-2.8519;0.5343;-2.2774;196.5373;196.5373
1;13;5;0.2966;1.7907;0.9636;0.7935;1.6585;0.7222;0.9039;142.0458;142.0458
2;14;0;0.1227;1.6802;0.4365;2.2393;1.5881;0.5163;2.2248;310.5885;310.5885
2;15;1;0.2283;1.2213;-1.2684;2.3852;1.3364;-1.0722;2.4039;285.3739;285.3739
2;16;3;0.2482;2.3346;0.3282;-0.0008;2.2591;0.4628;0.1936;223.8979;223.8979
2;17;2;0.3763;1.9303;-0.5999;1.8318;2.2334;-0.4294;1.9754;170.5262;170.5262
2;18;4;0.3343;1.5634;-0.7786;1.4964;1.6968;-0.4737;1.5294;170.6866;170.6866
2;19;6;0.0661;-1.7171;-0.1352;-0.5997;-1.6984;-0.1265;-0.5369;81.51916;81.51916
2;20;5;0.2838;2.2871;0.7048;3.2817;2.3353;0.6210;3.5485;309.8229;309.8229
