BlockID;TrialID;Config;StopWatch
0;0;2;1.57872
0;1;1;1.690389
0;2;0;2.455943
1;3;1;1.282316
1;4;2;2.038164
1;5;0;2.043125
2;6;0;3.044569
2;7;1;2.124157
2;8;2;3.357597
3;9;1;2.421156
3;10;2;1.921612
3;11;0;3.12302
4;12;0;0.8705254
4;13;1;2.419468
4;14;2;2.379723
5;15;2;1.963932
5;16;1;1.059837
5;17;0;1.947071
6;18;0;3.68642
6;19;1;1.758156
6;20;2;2.151287
7;21;2;2.389244
7;22;0;1.753895
7;23;1;1.054653
8;24;2;3.299759
8;25;1;0.8618622
8;26;0;2.245308
9;27;1;1.708038
9;28;2;1.610847
9;29;0;1.651947
10;30;0;2.962379
10;31;1;1.206322
10;32;2;1.685959
11;33;2;2.232376
11;34;1;1.536728
11;35;0;2.10601
12;36;2;0.7644119
12;37;0;0.877121
12;38;1;1.443817
13;39;1;1.196465
13;40;2;1.438293
13;41;0;3.963654
14;42;2;0.768692
14;43;0;1.373695
14;44;1;1.436798
15;45;2;0.7425232
15;46;1;2.375984
15;47;0;0.8686295
16;48;1;0.8290482
16;49;2;1.546425
16;50;0;1.391258
17;51;2;0.5686874
17;52;0;0.9758072
17;53;1;1.01667
18;54;1;1.208878
18;55;0;1.075554
18;56;2;2.709999
19;57;0;1.440361
19;58;2;1.647255
19;59;1;1.651871
