BlockID;TrialID;Config;StopWatch
0;0;2;1.068836
0;1;1;0.9115963
0;2;0;0.8402939
1;3;2;0.7665157
1;4;1;0.7107048
1;5;0;0.6587715
2;6;1;0.6759892
2;7;0;0.7027664
2;8;2;0.8477516
3;9;1;0.7908764
3;10;0;0.7544403
3;11;2;0.7506561
4;12;1;0.6506786
4;13;0;0.6173916
4;14;2;0.7570152
5;15;0;0.584465
5;16;1;0.6785698
5;17;2;0.7542686
6;18;2;0.7399292
6;19;1;0.6481552
6;20;0;0.5919495
7;21;1;0.6532898
7;22;0;0.6866112
7;23;2;0.9660263
8;24;1;0.9153976
8;25;0;0.7257576
8;26;2;1.529659
9;27;1;0.6941528
9;28;0;0.8132439
9;29;2;0.727787
10;30;0;0.7372093
10;31;1;0.6746559
10;32;2;0.8390274
11;33;0;0.7537689
11;34;2;0.762207
11;35;1;0.6787643
12;36;1;0.6276741
12;37;0;0.6865273
12;38;2;0.8102112
13;39;1;0.6742477
13;40;2;0.6357269
13;41;0;0.7524605
14;42;1;0.5964127
14;43;2;0.9982719
14;44;0;1.098125
15;45;1;0.6711617
15;46;0;0.6954193
15;47;2;0.6458511
16;48;0;0.8310089
16;49;1;0.6860619
16;50;2;0.8300972
17;51;2;0.9834976
17;52;1;0.8767052
17;53;0;0.6180038
18;54;1;0.7405739
18;55;2;0.8173523
18;56;0;0.9434357
19;57;0;0.7725296
19;58;2;0.765564
19;59;1;0.6787491
