BlockID;TrialID;Config;Position
0;0;1;(-3.19, -0.97, 1.10)
0;1;0;(1.40, -0.09, -3.53)
0;2;2;(0.73, -0.65, -0.49)
1;3;0;(-1.51, 1.63, 2.23)
1;4;1;(2.99, -0.91, 0.93)
1;5;2;(-1.61, 0.30, -1.77)
2;6;1;(-3.40, -0.77, 2.12)
2;7;2;(-1.52, -1.49, 3.86)
2;8;0;(2.66, 1.54, -1.37)
3;9;1;(-1.10, -1.64, -2.55)
3;10;2;(-1.45, -0.63, -0.15)
3;11;0;(-2.53, -0.38, -3.10)
4;12;1;(3.29, -1.62, -3.08)
4;13;0;(-0.79, 0.82, 2.17)
4;14;2;(-0.95, -1.48, 2.05)
5;15;0;(3.07, 0.95, -1.43)
5;16;2;(-2.97, 0.19, -1.93)
5;17;1;(1.87, 0.56, 2.62)
6;18;2;(0.67, -0.07, 2.85)
6;19;1;(1.50, -0.73, -1.77)
6;20;0;(-2.29, -1.33, 1.94)
7;21;1;(-0.22, -1.63, -2.06)
7;22;2;(-1.70, -1.48, -3.15)
7;23;0;(-1.19, 0.38, 0.58)
8;24;2;(3.26, -0.90, -2.23)
8;25;0;(-2.34, -0.59, -3.01)
8;26;1;(-0.71, 1.55, -1.33)
9;27;2;(-2.41, -1.13, 0.90)
9;28;1;(-1.23, 0.74, -3.99)
9;29;0;(2.25, 0.46, 3.71)
10;30;1;(-2.51, -0.14, 1.33)
10;31;0;(2.85, -1.35, -2.62)
10;32;2;(-2.96, 0.27, -0.99)
11;33;2;(-1.05, 1.33, 3.12)
11;34;0;(0.88, -1.57, -3.86)
11;35;1;(-0.67, 0.24, 3.75)
12;36;0;(-0.36, 1.03, 0.51)
12;37;1;(3.44, 0.27, 3.90)
12;38;2;(1.50, 1.28, -1.97)
13;39;1;(-3.17, -0.54, 3.32)
13;40;0;(2.09, -0.03, -2.87)
13;41;2;(0.52, -0.41, -0.28)
14;42;0;(-2.46, -1.58, -3.69)
14;43;1;(-0.95, -0.61, 3.95)
14;44;2;(-2.04, 0.41, 3.09)
15;45;1;(-1.24, -0.33, -3.07)
15;46;2;(-2.07, -0.12, 2.45)
15;47;0;(-2.02, -1.38, -0.84)
16;48;2;(-0.84, -0.21, -0.97)
16;49;1;(3.29, -0.08, 2.47)
16;50;0;(1.24, -0.73, -1.28)
17;51;1;(-2.40, -0.29, -3.94)
17;52;0;(0.09, -0.50, 3.72)
17;53;2;(-1.52, -1.10, 0.71)
18;54;2;(-2.21, -0.48, -0.80)
18;55;0;(1.25, -1.40, -2.07)
18;56;1;(-1.21, -0.57, 3.38)
19;57;2;(1.00, 1.28, 2.87)
19;58;1;(-3.39, -0.72, 3.42)
19;59;0;(-2.81, -1.33, -3.55)
