BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;0;0,6647906;5,722042E-07;0
0;1;3;0,341136;4,291532E-07;0
0;2;5;0,3540945;1,311302E-07;0
0;3;2;0,3721838;6,1894E-07;0
0;4;6;0,3713703;3,366351E-07;0
0;5;4;0,3343964;2,264975E-07;0
0;6;1;0,3312569;1,958163E-07;0
1;7;1;0,3423796;3,524435E-07;0
1;8;5;0,3681364;2,457562E-08;0
1;9;3;0,3065319;4,598302E-07;0
1;10;4;0,455512;6,204348E-07;0
1;11;2;0,3194904;2,253412E-07;0
1;12;6;0,3327065;7,487264E-08;0
1;13;0;0,3663845;0;0
2;14;1;0,3006992;3,540334E-07;0
2;15;3;0,317378;4,841748E-08;0
2;16;0;0,2951117;5,960462E-08;0
2;17;6;0,3285131;2,503394E-07;0
2;18;2;0,281249;4,291533E-07;0
2;19;4;0,3664732;0;0
2;20;5;0,3342257;2,741812E-07;0
