BlockID;TrialID;Config;PositionTarget;PositionFinal;RotationTarget;RotationFinal
0;0;2;(1.01, -1.65, 3.86);(1.16, -1.23, 3.87);90,45961;106,4311
0;1;1;(-1.52, 1.24, 3.29);(-1.54, 1.72, 3.26);52,88399;43,64113
0;2;0;(-2.65, 0.88, 2.00);(-2.64, 0.95, 2.07);349,2198;351,6198
0;3;11;(2.88, 0.59, 3.99);(2.80, 0.41, 4.00);41,35041;40,06936
0;4;9;(-1.21, 0.98, -1.32);(-1.51, 0.04, -1.10);18,33002;29,02598
0;5;10;(0.21, -1.46, -2.14);(0.01, -1.71, -2.08);317,6892;309,6192
0;6;14;(-1.04, 1.67, 3.77);(-0.91, 1.75, 3.59);26,77773;22,22774
0;7;13;(-0.78, 0.15, -1.38);(-0.92, 0.14, -1.51);164,5958;142,9732
0;8;7;(0.55, 1.08, -0.28);(0.56, 1.08, -0.15);26,56899;30,1769
0;9;8;(-2.39, 0.57, 0.43);(-3.08, -0.67, 1.67);133,5822;126,8747
0;10;4;(1.75, -0.09, 1.77);(1.58, -0.36, 1.73);132,3469;130,4755
0;11;6;(3.06, -0.04, 2.67);(2.96, -1.59, 2.67);162,5661;162,7518
