BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;2;5,1641;2,1175;-1,0328;-3,3190;0,3883;-1,0299;1,5470;118,0072;118,0072
0;1;3;4,2557;-1,4636;-0,0189;-3,2990;2,7086;0,8198;-3,2990;164,0126;164,0126
0;2;5;5,6826;0,6086;1,0472;-3,0825;1,8307;-0,0008;2,3673;40,49674;40,49674
0;3;0;4,7601;-2,8401;-0,6844;2,2219;1,9199;-0,6844;2,2219;160,5364;160,5364
0;4;4;3,9466;0,3361;-0,7586;-0,7698;1,7642;-0,7586;2,9094;53,04639;53,04639
0;5;1;3,7178;1,3467;-1,0410;1,7985;-1,5030;1,3467;1,7985;50,20676;50,20676
0;6;6;3,6101;-2,1072;-0,1959;-1,3478;0,2654;-0,7955;1,3062;278,2402;278,2402
1;7;1;2,1358;0,9101;-0,3397;1,5542;1,2435;-1,2039;3,4787;293,0523;293,0523
1;8;3;3,4213;-1,0395;-0,0131;-1,8128;-2,6169;1,2641;0,9413;53,68449;53,68449
1;9;2;1,8888;-1,0213;-0,7011;-1,8458;0,3851;-1,2724;-2,9698;342,7172;342,7172
