BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;3;4,0078;2,9053;0,5933;1,9071;-1,0360;1,3209;1,9071;352,8833;352,8833
0;1;4;4,8086;-0,3333;-0,3509;-1,8753;-1,6087;-0,3509;2,7610;353,6168;353,6168
0;2;0;4,2090;-2,0680;-0,2723;-0,4078;2,1410;-0,2723;-0,4078;137,3643;137,3643
0;3;1;4,2077;0,6878;-1,3607;-2,2400;-2,9876;0,6878;-2,2400;203,0261;203,0261
0;4;5;4,1675;-2,6038;0,3719;3,4844;-2,6038;-1,1378;-0,4000;239,6274;239,6274
0;5;6;3,7323;-2,5096;-1,3225;1,9659;1,0020;-0,3232;2,7410;126,7814;126,7814
0;6;2;3,1261;2,5980;-0,5475;-2,8424;2,5980;-0,5475;0,2837;36,59529;36,5953
1;7;0;3,1567;0,8155;0,7287;2,9909;-2,3412;0,7287;2,9909;329,3267;329,3267
1;8;6;4,6786;0,0001;0,9898;1,3654;-1,4512;-1,0326;-2,5960;256,4607;256,4607
1;9;3;4,0885;1,4554;1,0457;0,7641;-2,4670;-0,1078;0,7641;61,54129;61,54129
1;10;5;6,0570;1,6465;1,1105;2,6142;1,6465;0,1792;-3,3708;339,9659;339,966
1;11;1;3,3125;-0,9974;0,3278;0,5502;2,0384;-0,9974;0,5502;318,2127;318,2127
1;12;2;3,6744;1,7282;0,5097;-2,1540;1,7282;0,5097;1,5204;279,7247;279,7248
1;13;4;6,0832;-2,4413;1,3833;-0,5786;2,7750;1,3833;2,5511;95,46587;95,46588
2;14;5;4,7663;-2,0408;-1,1022;-1,7091;-2,0408;0,2327;2,8664;91,40951;91,40952
2;15;0;5,4586;-2,4750;1,1041;2,9771;2,9837;1,1041;2,9771;282,4962;282,4963
2;16;6;4,4740;2,1724;-0,4342;2,5869;0,2424;0,1327;-1,4095;20,4372;20,43721
2;17;4;5,7574;2,8700;0,7348;-2,7002;2,6540;0,7348;3,0532;51,97946;51,97946
2;18;1;3,1872;1,2642;-1,0692;-0,2056;-0,9067;1,2642;-0,2056;155,5928;155,5928
2;19;2;5,5223;2,9186;-1,2181;3,3083;2,9186;-1,2181;-2,2140;169,873;169,873
2;20;3;5,3607;-2,6492;1,0911;1,9778;2,7038;0,8055;1,9778;215,7447;215,7448
BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;6;5,7451;2,7004;1,1555;2,0033;-2,9578;0,7687;1,0856;286,5932;286,5932
0;1;3;5,7153;-2,8767;-0,5184;1,5060;2,8363;-0,3537;1,5060;9,958267;9,958268
