Frame;Time;User;Condition;Config;Distance
1;0,01512527;User20;3DMouse;0;1.7647
2;0,06541443;User20;3DMouse;0;1.7647
3;0,09008026;User20;3DMouse;0;1.7647
4;0,1138687;User20;3DMouse;0;1.7647
5;0,1370735;User20;3DMouse;0;1.7647
6;0,1607399;User20;3DMouse;0;1.7647
7;0,1850433;User20;3DMouse;0;1.7647
8;0,2106209;User20;3DMouse;0;1.7647
9;0,2342453;User20;3DMouse;0;1.7647
10;0,2586746;User20;3DMouse;0;1.7647
11;0,2827568;User20;3DMouse;0;1.7647
12;0,3049316;User20;3DMouse;0;1.7647
13;0,3300896;User20;3DMouse;0;1.7647
14;0,3582611;User20;3DMouse;0;1.7647
15;0,379734;User20;3DMouse;0;1.7647
16;0,402977;User20;3DMouse;0;1.7647
17;0,4299355;User20;3DMouse;0;1.7647
18;0,4533386;User20;3DMouse;0;1.7647
19;0,4779778;User20;3DMouse;0;1.7647
20;0,5031624;User20;3DMouse;0;1.7647
21;0,5330048;User20;3DMouse;0;1.7647
22;0,5574074;User20;3DMouse;0;1.7647
23;0,5812645;User20;3DMouse;0;1.7647
24;0,608017;User20;3DMouse;0;1.7647
25;0,6320572;User20;3DMouse;0;1.7647
26;0,653698;User20;3DMouse;0;1.7659
27;0,6821938;User20;3DMouse;0;0.0000
28;0,7089157;User20;3DMouse;0;0.0000
29;0,7348404;User20;3DMouse;0;0.0000
30;0,7610741;User20;3DMouse;0;0.0000
31;0,7916298;User20;3DMouse;0;0.0000
32;0,8174362;User20;3DMouse;0;0.0000
33;0,8445625;User20;3DMouse;0;0.0000
34;0,8702698;User20;3DMouse;0;0.0000
35;0,898407;User20;3DMouse;0;0.0000
36;0,925293;User20;3DMouse;0;0.0000
37;0,9533195;User20;3DMouse;0;0.0000
38;0,9789734;User20;3DMouse;0;0.0000
39;1,003948;User20;3DMouse;0;0.0000
40;1,032265;User20;3DMouse;0;0.0000
41;1,060036;User20;3DMouse;0;0.0000
42;1,085899;User20;3DMouse;0;0.0000
43;1,111572;User20;3DMouse;0;1.7911
44;1,13726;User20;3DMouse;0;1.7929
45;1,165592;User20;3DMouse;0;0.0000
46;1,192337;User20;3DMouse;0;0.0000
47;1,218655;User20;3DMouse;0;1.7941
48;1,245209;User20;3DMouse;0;0.0000
49;1,270737;User20;3DMouse;0;0.0000
50;1,299252;User20;3DMouse;0;0.0000
51;1,325146;User20;3DMouse;0;0.0000
52;1,34956;User20;3DMouse;0;0.0000
53;1,375633;User20;3DMouse;0;0.0000
54;1,39967;User20;3DMouse;0;0.0000
55;1,425102;User20;3DMouse;0;0.0000
56;1,45018;User20;3DMouse;0;0.0000
57;1,474987;User20;3DMouse;0;0.0000
58;1,501408;User20;3DMouse;0;0.0000
59;1,529381;User20;3DMouse;0;0.0000
60;1,557133;User20;3DMouse;0;0.0000
61;1,58577;User20;3DMouse;0;0.0000
62;1,611164;User20;3DMouse;0;0.0000
63;1,636211;User20;3DMouse;0;0.0000
64;1,662617;User20;3DMouse;0;0.0000
65;1,687801;User20;3DMouse;0;0.0000
66;1,713272;User20;3DMouse;0;0.0000
67;1,738235;User20;3DMouse;0;0.0000
68;1,765732;User20;3DMouse;0;0.0000
69;1,791439;User20;3DMouse;0;0.0000
70;1,818398;User20;3DMouse;0;0.0000
71;1,843807;User20;3DMouse;0;0.0000
72;1,869072;User20;3DMouse;0;0.0000
73;1,894459;User20;3DMouse;0;0.0000
74;1,920311;User20;3DMouse;0;0.0000
75;1,946369;User20;3DMouse;0;0.0000
76;1,970657;User20;3DMouse;0;0.0000
77;1,995979;User20;3DMouse;0;0.0000
78;2,021355;User20;3DMouse;0;0.0737
79;2,048931;User20;3DMouse;0;0.0899
80;2,07428;User20;3DMouse;0;0.1097
81;2,099556;User20;3DMouse;0;0.1388
82;2,124542;User20;3DMouse;0;0.1731
83;2,151203;User20;3DMouse;0;0.2099
84;2,177433;User20;3DMouse;0;0.2459
85;2,20359;User20;3DMouse;0;0.2871
86;2,232517;User20;3DMouse;0;0.3385
87;2,258118;User20;3DMouse;0;0.3857
88;2,282616;User20;3DMouse;0;0.4259
89;2,308392;User20;3DMouse;0;0.4465
90;2,335987;User20;3DMouse;0;0.4637
91;2,362259;User20;3DMouse;0;0.4799
92;2,387886;User20;3DMouse;0;0.4877
93;2,417492;User20;3DMouse;0;0.4911
94;2,446167;User20;3DMouse;0;0.4911
95;2,475407;User20;3DMouse;0;0.4911
96;2,502289;User20;3DMouse;0;0.4868
97;2,53035;User20;3DMouse;0;0.4474
98;2,5602;User20;3DMouse;0;0.3882
99;2,591831;User20;3DMouse;0;0.3162
100;2,619961;User20;3DMouse;0;0.2563
101;2,649117;User20;3DMouse;0;0.1852
102;2,674942;User20;3DMouse;0;0.0882
103;2,701168;User20;3DMouse;0;0.0000
104;2,728271;User20;3DMouse;0;0.0000
105;2,753712;User20;3DMouse;0;0.0000
106;2,77943;User20;3DMouse;0;0.0000
107;2,804527;User20;3DMouse;0;0.0000
108;2,832535;User20;3DMouse;0;0.0000
109;2,858498;User20;3DMouse;0;0.0000
110;2,883305;User20;3DMouse;0;0.0000
111;2,908638;User20;3DMouse;0;0.0000
112;2,934921;User20;3DMouse;0;0.0000
113;2,961185;User20;3DMouse;0;0.0000
114;2,986504;User20;3DMouse;0;0.0000
115;3,012531;User20;3DMouse;0;0.1037
116;3,037045;User20;3DMouse;0;0.2417
117;3,066216;User20;3DMouse;0;0.3720
118;3,091984;User20;3DMouse;0;0.4808
119;3,115681;User20;3DMouse;0;0.5734
120;3,141407;User20;3DMouse;0;0.6291
121;3,165768;User20;3DMouse;0;0.6308
122;3,191261;User20;3DMouse;0;0.6308
123;3,21677;User20;3DMouse;0;0.6120
124;3,243763;User20;3DMouse;0;0.5854
125;3,269001;User20;3DMouse;0;0.5503
126;3,295383;User20;3DMouse;0;0.5228
127;3,320873;User20;3DMouse;0;0.5023
128;3,349262;User20;3DMouse;0;0.4911
129;3,3759;User20;3DMouse;0;0.4843
130;3,402626;User20;3DMouse;0;0.4791
131;3,428326;User20;3DMouse;0;0.4766
132;3,453331;User20;3DMouse;0;0.4766
133;3,479362;User20;3DMouse;0;0.4766
134;3,504814;User20;3DMouse;0;0.4766
135;3,533081;User20;3DMouse;0;0.4766
136;3,558643;User20;3DMouse;0;0.4766
137;3,583286;User20;3DMouse;0;0.4766
138;3,608604;User20;3DMouse;0;0.4723
139;3,632694;User20;3DMouse;0;0.4663
140;3,657898;User20;3DMouse;0;0.4620
141;3,683376;User20;3DMouse;0;0.4611
142;3,708939;User20;3DMouse;0;0.4611
143;3,733078;User20;3DMouse;0;0.4611
144;3,755722;User20;3DMouse;0;0.4611
145;3,779499;User20;3DMouse;0;0.4611
146;3,804684;User20;3DMouse;0;0.4611
147;3,830284;User20;3DMouse;0;0.4611
148;3,856781;User20;3DMouse;0;0.4611
149;3,883297;User20;3DMouse;0;0.4611
150;3,913033;User20;3DMouse;0;0.4611
151;3,940128;User20;3DMouse;0;0.4611
152;3,965034;User20;3DMouse;0;0.4586
153;3,990044;User20;3DMouse;0;0.4534
154;4,015896;User20;3DMouse;0;0.4536
155;0,01395512;User19;3DMouse;0;1.7647
156;0,06370449;User19;3DMouse;0;1.7647
157;0,08823204;User19;3DMouse;0;1.7647
158;0,1130075;User19;3DMouse;0;1.7647
159;0,1362505;User19;3DMouse;0;1.7647
160;0,160099;User19;3DMouse;0;1.7647
161;0,1847649;User19;3DMouse;0;1.7647
162;0,2088261;User19;3DMouse;0;1.7647
163;0,2335224;User19;3DMouse;0;1.7647
164;0,2569675;User19;3DMouse;0;1.7647
165;0,2803555;User19;3DMouse;0;1.7647
166;0,3057899;User19;3DMouse;0;1.7647
167;0,3311996;User19;3DMouse;0;1.7647
168;0,3582172;User19;3DMouse;0;1.7647
169;0,3821239;User19;3DMouse;0;1.7647
170;0,405426;User19;3DMouse;0;1.7647
171;0,4302349;User19;3DMouse;0;1.7647
172;0,4546432;User19;3DMouse;0;1.7647
173;0,4827595;User19;3DMouse;0;1.7647
174;0,5080166;User19;3DMouse;0;1.7647
175;0,5333843;User19;3DMouse;0;1.7647
176;0,5551147;User19;3DMouse;0;1.7647
177;0,5842438;User19;3DMouse;0;1.7647
178;0,6079674;User19;3DMouse;0;0.0000
179;0,6335163;User19;3DMouse;0;0.0000
180;0,6562538;User19;3DMouse;0;0.0000
181;0,6805;User19;3DMouse;0;0.0000
182;0,7075729;User19;3DMouse;0;0.0000
183;0,7329235;User19;3DMouse;0;0.0000
184;0,7537079;User19;3DMouse;0;0.0000
185;0,7785587;User19;3DMouse;0;0.0000
186;0,8042545;User19;3DMouse;0;2.0122
187;0,8295097;User19;3DMouse;0;1.7557
188;0,8549881;User19;3DMouse;0;0.0000
189;0,8803539;User19;3DMouse;0;0.0000
190;0,9072037;User19;3DMouse;0;0.1299
191;0,9328842;User19;3DMouse;0;0.2028
192;0,9571228;User19;3DMouse;0;0.2825
193;0,983675;User19;3DMouse;0;0.3776
194;1,007818;User19;3DMouse;0;0.4933
195;1,032871;User19;3DMouse;0;0.6268
196;1,058758;User19;3DMouse;0;0.7919
197;1,085831;User19;3DMouse;0;0.8977
198;1,213369;User19;3DMouse;0;2.0074
199;1,238255;User19;3DMouse;0;1.6475
200;1,265467;User19;3DMouse;0;0.5393
201;1,291094;User19;3DMouse;0;0.4596
202;1,316618;User19;3DMouse;0;0.3808
203;1,34115;User19;3DMouse;0;0.3019
204;1,366785;User19;3DMouse;0;0.2205
205;1,391529;User19;3DMouse;0;0.1408
206;1,416723;User19;3DMouse;0;0.0000
207;1,441746;User19;3DMouse;0;1.7141
208;1,46884;User19;3DMouse;0;0.0000
209;1,494484;User19;3DMouse;0;0.0000
210;1,520123;User19;3DMouse;0;0.0000
211;1,546526;User19;3DMouse;0;0.0000
212;1,573547;User19;3DMouse;0;0.0000
213;1,599474;User19;3DMouse;0;0.0000
214;1,624687;User19;3DMouse;0;0.0000
215;1,650057;User19;3DMouse;0;0.0000
216;1,674791;User19;3DMouse;0;0.0000
217;1,700289;User19;3DMouse;0;0.0000
218;1,72583;User19;3DMouse;0;0.0000
219;1,752352;User19;3DMouse;0;0.0000
220;1,778034;User19;3DMouse;0;0.0000
221;1,803253;User19;3DMouse;0;0.0000
222;1,828304;User19;3DMouse;0;0.0000
223;1,853786;User19;3DMouse;0;0.0000
224;1,879381;User19;3DMouse;0;0.0000
225;1,90447;User19;3DMouse;0;0.0000
226;1,929594;User19;3DMouse;0;1.8065
227;1,954786;User19;3DMouse;0;0.0000
228;1,982693;User19;3DMouse;0;0.0000
229;2,008327;User19;3DMouse;0;0.0000
230;2,033339;User19;3DMouse;0;0.0000
231;2,058109;User19;3DMouse;0;0.0000
232;2,082893;User19;3DMouse;0;0.0000
233;2,108358;User19;3DMouse;0;0.0000
234;2,133219;User19;3DMouse;0;0.0000
235;2,157452;User19;3DMouse;0;0.0000
236;2,183054;User19;3DMouse;0;0.0000
237;2,208469;User19;3DMouse;0;0.0000
238;2,234564;User19;3DMouse;0;0.0000
239;2,257826;User19;3DMouse;0;0.0000
240;2,284416;User19;3DMouse;0;0.0000
241;2,308252;User19;3DMouse;0;0.0000
242;2,333286;User19;3DMouse;0;0.0000
243;2,357222;User19;3DMouse;0;0.0000
244;2,383196;User19;3DMouse;0;0.1123
245;2,407663;User19;3DMouse;0;0.1568
246;2,432961;User19;3DMouse;0;0.2014
247;2,458126;User19;3DMouse;0;0.2374
248;2,483051;User19;3DMouse;0;0.2700
249;2,507029;User19;3DMouse;0;0.2965
250;2,533064;User19;3DMouse;0;0.3197
251;2,558224;User19;3DMouse;0;0.3325
252;2,583366;User19;3DMouse;0;0.3454
253;2,606766;User19;3DMouse;0;0.3565
254;2,633261;User19;3DMouse;0;0.3660
255;2,658239;User19;3DMouse;0;0.3780
256;2,683193;User19;3DMouse;0;0.3891
257;2,708521;User19;3DMouse;0;0.3977
258;2,735468;User19;3DMouse;0;0.4054
259;2,761248;User19;3DMouse;0;0.4131
260;2,786886;User19;3DMouse;0;0.4157
261;2,81238;User19;3DMouse;0;0.4200
262;2,837652;User19;3DMouse;0;0.4251
263;2,863564;User19;3DMouse;0;0.4285
264;2,888441;User19;3DMouse;0;0.4285
265;2,916763;User19;3DMouse;0;0.4285
266;2,941439;User19;3DMouse;0;0.4472
267;2,966814;User19;3DMouse;0;0.5269
268;2,991631;User19;3DMouse;0;0.3583
269;3,016441;User19;3DMouse;0;0.5653
270;3,040983;User19;3DMouse;0;0.5348
271;3,066578;User19;3DMouse;0;0.5080
