;index;BlockID;Frame;StopWatch;PosX;PosY;PosZ;User;Conditions;CircuitID;UX;PositionAbsolute;PositionSubstraction
0;0;0;1;0,05658722;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
1;1;0;3;0,09491348;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
2;2;0;4;0,1183128;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
3;3;0;5;0,136219;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
4;4;0;6;0,1595535;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
5;5;0;7;0,1776276;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
6;6;0;8;0,2016716;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
7;7;0;9;0,2205963;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
8;8;0;10;0,2427025;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
9;9;0;11;0,2643585;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
10;10;0;12;0,2855034;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
11;11;0;13;0,3059959;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
12;12;0;14;0,3251343;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
13;13;0;15;0,3493958;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0009068166162116142
14;14;0;16;0,3676529;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,002617681178011644
15;15;0;17;0,3872185;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0008048388065171608
16;16;0;18;0,410183;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
17;17;0;19;0,4285507;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
18;18;0;20;0,4524498;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
19;19;0;21;0,4721146;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
20;20;0;22;0,4934082;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
21;21;0;23;0,5150871;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
22;22;0;24;0,5334969;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
23;23;0;25;0,5524178;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
24;24;0;26;0,5707588;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
25;25;0;27;0,5922012;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0
26;26;0;28;0,6125259;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,0028722176393332077
27;27;0;29;0,6343422;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,014522508612690999
28;28;0;30;0,6510353;1,7021;0,616;-2,852;User20;Hand;Circuit4;PathTracing;3,377943813919941;0,018725470566173463
