BlockID;TrialID;Config;PositionTarget;PositionFinal;RotationTarget;RotationFinal
0;0;0;(2.07, 0.32, 0.64);(-2.24, 0.32, 0.64);164,0078;164,0078
0;1;1;(0.38, 1.91, -1.75);(0.38, -0.78, -1.75);214,2388;214,2388
0;2;2;(-1.94, -0.51, -3.77);(-1.94, -0.51, 3.74);266,7487;266,7487
0;3;3;(2.61, 0.35, -2.09);(-0.92, 1.44, -2.09);283,9972;283,9972
0;4;4;(1.38, 1.74, 4.86);(-1.78, 1.74, -2.93);13,40604;13,40604
0;5;5;(1.11, 1.37, 2.11);(1.11, -1.53, 1.44);197,2127;197,2127
0;6;6;(1.91, 1.79, 3.68);(2.92, 0.10, -2.40);184,5804;184,5804
0;7;7;(-3.30, 1.62, 3.57);(-3.30, 1.62, 3.57);0,2386307;34,06269
0;8;8;(-3.37, 1.82, -1.80);(1.76, 1.82, -1.80);101,0768;285,805
0;9;9;(-0.28, 0.65, 3.92);(-0.28, -1.85, 3.92);166,8263;305,6208
0;10;10;(-2.22, -0.71, 4.03);(-2.22, -0.71, 1.27);246,7917;306,6118
0;11;11;(-3.66, 1.39, 1.00);(0.77, 0.36, 1.00);63,66055;227,8982
0;12;12;(-2.07, -1.18, -1.16);(2.32, -1.18, -1.76);18,7772;47,73244
0;13;13;(3.01, 0.63, 3.23);(3.01, -0.76, -0.41);12,0455;228,8115
0;14;14;(-0.15, 1.20, 0.74);(-1.38, -0.76, 0.44);184,6148;251,7145
0;15;15;(1.44, 1.81, 2.44);(-3.50, 1.81, 2.44);50,75084;50,75084
0;16;16;(1.01, 1.65, -0.82);(1.01, -1.98, -0.82);222,6338;222,6338
0;17;17;(3.15, -0.84, -3.49);(3.15, -0.84, 3.60);318,9406;318,9406
0;18;18;(3.13, -1.53, -3.40);(-2.82, -1.28, -3.40);115,3664;115,3664
0;19;19;(0.54, -1.28, -3.36);(-2.00, -1.28, -0.55);182,2026;182,2026
0;20;20;(2.47, 0.90, -3.36);(2.47, -0.29, 1.38);267,8883;267,8883
0;21;21;(-3.46, 1.81, 3.33);(-0.28, -1.59, -4.95);351,5014;351,5015
0;22;22;(-2.35, -1.62, 1.11);(-2.35, -1.62, 1.11);138,3098;278,6911
0;23;23;(-2.02, 0.10, -4.46);(3.50, 0.10, -4.46);66,92207;308,3405
0;24;24;(-0.14, 1.94, -0.35);(-0.14, -1.91, -0.35);55,36609;297,3586
0;25;25;(2.60, 1.03, -4.61);(2.60, 1.03, 2.70);34,56339;339,6271
0;26;26;(-1.49, -1.51, 2.77);(3.40, -0.04, 2.77);56,3467;304,3914
0;27;27;(-1.15, -1.31, 3.29);(0.33, -1.31, -0.48);5,036394;21,92851
0;28;28;(1.06, 0.77, -1.56);(1.06, -0.15, 2.72);21,39542;155,0595
0;29;29;(-2.62, 0.75, -0.36);(-1.25, 0.28, -4.06);141,7699;245,917
0;30;30;(1.71, 0.78, -0.94);(-0.79, 0.78, -0.94);121,9888;121,9888
0;31;31;(-3.57, -1.20, -0.74);(-3.57, 0.98, -0.74);296,6059;296,6059
0;32;32;(-1.79, 1.59, -2.00);(-1.79, 1.59, 1.95);210,733;210,733
0;33;33;(2.63, -1.19, 1.90);(-0.26, 1.79, 1.90);162,4029;162,4029
0;34;34;(0.16, 1.12, -4.99);(2.50, 1.12, 0.58);63,14689;63,14689
0;35;35;(0.26, -1.35, 0.35);(0.26, -1.48, 3.03);233,8773;233,8774
0;36;36;(-1.74, -1.03, 1.07);(-1.98, -1.07, -1.89);95,47346;95,47347
0;37;37;(3.10, -1.63, -3.48);(3.10, -1.63, -3.48);43,03385;68,92128
0;38;38;(-1.11, -0.28, 1.69);(-2.64, -0.28, 1.69);157,1578;359,3782
0;39;39;(-1.62, 1.20, 1.56);(-1.62, -0.78, 1.56);5,775611;336,3868
0;40;40;(-1.16, 1.05, -0.21);(-1.16, 1.05, -1.43);166,6044;259,9059
0;41;41;(2.56, -0.90, -2.69);(-2.88, -1.25, -2.69);73,42078;98,072
0;42;42;(-2.25, 0.42, 3.19);(0.46, 0.42, -3.55);24,83097;242,365
0;43;43;(-3.69, 0.75, -1.93);(-3.69, -0.46, 3.67);1,167447;322,6241
0;44;44;(-0.27, -1.45, 0.54);(-2.13, 0.10, 0.50);73,62295;221,6205
1;45;0;(-1.89, -1.79, -3.94);(2.60, -1.79, -3.94);33,24408;33,24408
1;46;1;(-3.28, -1.69, -2.62);(-3.28, 1.25, -2.62);297,7787;297,7787
1;47;2;(-2.82, -1.45, 1.42);(-2.82, -1.45, 4.31);122,4922;122,4922
1;48;3;(-0.73, 0.29, -3.49);(-3.66, -1.12, -3.49);173,1942;173,1942
1;49;4;(2.40, -1.69, -2.20);(-2.76, -1.69, -1.24);305,6358;305,6358
1;50;5;(-2.17, -0.34, -3.02);(-2.17, -1.77, 0.97);315,1552;315,1553
1;51;6;(-0.48, -1.62, -4.42);(1.23, -0.02, -2.16);75,34402;75,34402
1;52;7;(-3.74, 1.83, -0.71);(-3.74, 1.83, -0.71);196,4697;278,2509
1;53;8;(0.91, 0.63, 1.18);(-2.23, 0.63, 1.18);67,05572;186,2396
