BlockID;TrialID;Config;Position
0;0;1;(3.10, -0.14, -2.68)
0;1;2;(3.74, 0.42, 3.97)
0;2;0;(-1.76, 1.89, -1.62)
1;3;1;(-2.87, -0.07, 2.05)
1;4;0;(-3.99, 1.33, 1.88)
1;5;2;(1.89, 0.71, 3.17)
2;6;2;(-3.94, 0.83, 4.60)
2;7;0;(3.23, -0.27, 3.21)
2;8;1;(0.95, 0.86, 3.37)
3;9;2;(-1.65, -0.57, 2.60)
3;10;0;(4.68, 1.79, 1.35)
3;11;1;(-2.70, -1.03, 2.67)
4;12;0;(1.13, 1.11, 3.82)
4;13;1;(4.00, -0.65, 2.61)
4;14;2;(-1.34, -0.53, -0.30)
5;15;1;(-2.21, 0.84, -3.42)
5;16;2;(-1.76, 0.05, 3.88)
5;17;0;(2.35, 1.61, 1.38)
6;18;2;(-0.48, 1.11, -0.38)
6;19;1;(2.21, 1.25, 2.19)
6;20;0;(1.54, 0.52, 3.37)
7;21;1;(-3.07, 0.69, -0.71)
7;22;2;(2.77, -1.17, -1.09)
7;23;0;(-2.22, 1.40, -3.78)
8;24;2;(4.26, -1.29, 1.89)
8;25;0;(-4.97, 0.53, -1.15)
8;26;1;(4.43, -1.23, -2.71)
9;27;0;(-2.17, 1.72, -4.68)
9;28;2;(1.02, 1.67, 3.10)
9;29;1;(-4.82, 0.74, 2.25)
10;30;0;(-1.39, -1.06, 4.99)
10;31;2;(4.71, -1.96, -0.45)
10;32;1;(-1.82, 1.89, -1.22)
11;33;1;(-0.51, 1.87, 0.21)
11;34;2;(-2.57, -1.31, 0.92)
11;35;0;(-4.97, 1.31, 4.40)
12;36;0;(0.63, 1.00, 2.85)
12;37;2;(-0.16, 1.42, 3.88)
12;38;1;(-4.64, -0.23, 0.89)
13;39;2;(0.34, -1.22, -0.13)
13;40;1;(-4.84, -0.04, 3.79)
13;41;0;(0.80, -1.10, 4.35)
14;42;2;(-3.95, 1.09, 2.50)
14;43;0;(-3.54, 0.85, -1.49)
14;44;1;(4.00, -1.01, 0.12)
15;45;0;(4.62, 0.49, 0.84)
15;46;2;(-3.73, 0.36, -3.96)
15;47;1;(0.40, -0.85, -4.17)
16;48;1;(1.31, 0.07, 4.32)
16;49;0;(-0.38, 0.76, 3.99)
16;50;2;(4.89, 1.10, -3.81)
17;51;0;(2.59, 1.87, 3.62)
17;52;1;(2.27, -0.14, -4.26)
17;53;2;(1.44, -1.86, -2.12)
18;54;0;(-3.67, -1.96, -2.10)
18;55;1;(-2.06, 1.90, -4.62)
18;56;2;(-1.00, -1.66, -0.10)
19;57;1;(-0.45, 1.70, 1.19)
19;58;0;(2.09, -0.78, -0.86)
19;59;2;(-0.48, -0.50, -2.35)
