BlockID;TrialID;Config;StopWatch
0;0;0;2,450711
0;1;2;1,019944
0;2;1;1,039095
1;3;0;1,053345
1;4;2;0,7820058
1;5;1;1,584221
2;6;1;0,9516306
2;7;2;2,249472
2;8;0;0,9376297
3;9;2;0,7747383
3;10;1;1,010366
3;11;0;0,9880781
4;12;2;1,018452
4;13;0;0,7541523
4;14;1;1,329979
5;15;2;1,006021
5;16;0;0,9731789
5;17;1;1,453424
6;18;2;1,332899
6;19;1;0,8631058
6;20;0;0,9274311
7;21;1;2,772604
7;22;0;1,434237
7;23;2;1,404009
8;24;0;5,029156
8;25;1;1,067379
8;26;2;0,8806267
9;27;0;1,06633
9;28;2;0,4092445
9;29;1;0,4961662
10;30;0;0,755619
10;31;1;0,6928368
10;32;2;0,6965179
11;33;2;0,7570267
11;34;0;0,4985466
11;35;1;0,7192345
12;36;1;14,71209
12;37;0;5,057049
12;38;2;1,765297
13;39;2;2,541901
13;40;1;25,54424
13;41;0;0,7230606
14;42;0;0,4991226
14;43;2;0,5318375
14;44;1;0,9599457
15;45;2;0,5480423
15;46;1;0,7053986
15;47;0;0,5954514
16;48;2;0,638092
16;49;1;0,4788742
16;50;0;1,210571
17;51;0;1,891273
17;52;1;0,6427231
17;53;2;0,7383347
18;54;2;0,5415878
18;55;0;0,5860291
18;56;1;0,6603241
19;57;0;3,997192
19;58;1;0,8137207
19;59;2;0,5751572
