BlockID;TrialID;Config;StopWatch
0;0;1;0.9454498
0;1;0;0.845047
0;2;2;0.65942
1;3;2;0.8891335
1;4;0;0.6456642
1;5;1;1.047565
2;6;0;0.4761925
2;7;1;0.5144577
2;8;2;1.328415
3;9;2;0.7227211
3;10;0;0.8729248
3;11;1;1.143757
4;12;0;0.8147926
4;13;2;1.523285
4;14;1;0.92276
5;15;1;0.7228813
5;16;0;0.8536797
5;17;2;2.199833
6;18;0;1.632912
6;19;2;2.87698
6;20;1;0.8438187
7;21;2;1.773972
7;22;1;0.9527359
7;23;0;1.317108
8;24;1;0.6333237
8;25;2;1.540878
8;26;0;0.7696381
9;27;0;1.080528
9;28;1;0.8310165
9;29;2;1.772621
10;30;1;0.8191681
10;31;2;0.9532394
10;32;0;1.799644
11;33;2;1.356506
11;34;0;0.8418503
11;35;1;1.132385
12;36;1;0.850029
12;37;0;1.820503
12;38;2;0.8380508
13;39;2;0.977684
13;40;0;1.685654
13;41;1;0.6390533
14;42;0;0.9425735
14;43;2;2.161949
14;44;1;0.552269
15;45;1;1.044495
15;46;0;0.8976135
15;47;2;1.890198
16;48;2;1.444038
16;49;0;1.367363
16;50;1;1.376816
17;51;2;1.598366
17;52;0;1.005791
17;53;1;0.7115097
18;54;0;1.205467
18;55;1;0.9464874
18;56;2;1.840294
19;57;1;0.6721497
19;58;2;0.6330872
19;59;0;0.9577866
