BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;0;4.343895;1.111413;0
0;1;3;3.818539;0.9960077;0
0;2;6;3.526218;1.251993;0
0;3;4;3.251503;1.098634;0
0;4;5;4.180649;1.379122;0
0;5;1;3.554672;1.211302;0
0;6;2;3.906708;1.504323;0
1;7;1;2.823746;0.8499094;0
1;8;6;4.12944;1.584592;0
1;9;5;2.630264;0.7691456;0
1;10;4;3.571579;1.288382;0
1;11;3;3.188011;1.029303;0
1;12;0;2.9981;1.343318;0
1;13;2;2.839615;0.8940044;0
2;14;2;3.800163;1.43345;0
2;15;1;3.559097;1.397531;0
2;16;5;2.704994;0.9698659;0
2;17;0;3.147842;1.077854;0
2;18;6;2.952461;1.185542;0
2;19;3;4.000725;1.094077;0
2;20;4;2.788742;1.196124;0
