BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;2;0.4594;0.9306;0.8271;1.1087;1.3189;1.0628;1.0403;58.75549;58.75549
0;1;1;3.2022;-0.5547;0.6837;-0.8696;-1.3344;-1.4000;-3.1727;20.37195;20.37195
0;2;0;7.3198;-2.7765;-1.0112;-1.4155;2.0820;1.4000;3.5000;236.9296;236.9296
0;3;5;0.5222;1.4338;-0.3890;2.5534;1.3824;-0.5159;3.0574;50.72066;50.72066
0;4;4;3.3396;-1.8417;0.1364;-0.5347;1.2646;-0.9605;-1.0831;3.901735;3.901735
0;5;3;0.2366;1.5973;1.1366;1.1518;1.7595;1.0031;1.2607;221.7551;221.7551
0;6;6;0.2746;-2.1603;-0.4158;-3.2072;-2.0868;-0.1743;-3.3151;278.914;278.914
1;7;4;1.4667;-1.9886;0.5545;-1.6599;-2.4065;1.0840;-0.3576;340.0018;340.0018
1;8;6;0.2765;0.3202;1.2620;0.1755;0.0902;1.4000;0.2428;59.93966;59.93966
1;9;2;0.2819;1.3207;-0.5070;1.0544;1.5187;-0.3450;0.9359;149.2264;149.2264
1;10;0;4.6900;-0.9408;-0.7554;-0.6563;2.4607;1.2971;1.8362;301.4852;301.4852
1;11;1;2.6996;1.0413;1.2623;1.8707;1.1346;-0.5563;-0.1222;336.563;336.563
1;12;3;1.0176;2.1987;0.6366;-1.5235;3.0000;1.2601;-1.4550;303.8903;303.8903
1;13;5;0.1480;2.4933;1.1596;-2.2230;2.6296;1.2066;-2.2566;51.86388;51.86388
2;14;6;0.2903;2.3250;-0.3121;-3.4565;2.1120;-0.5044;-3.5000;184.622;184.622
2;15;1;2.7179;0.0173;-0.9297;-1.2623;1.3900;1.3794;-0.8491;32.49734;32.49734
2;16;5;3.4004;-0.5080;-0.9459;3.0340;2.2178;0.1692;1.3341;139.6556;139.6556
2;17;4;4.0044;1.2294;0.4464;2.9794;-2.3368;-0.1366;1.2538;297.2149;297.2149
2;18;2;2.1110;-1.9336;-1.2847;-3.2133;0.1749;-1.2004;-3.1520;226.9924;226.9924
2;19;0;0.3106;0.3292;-0.6328;2.4485;0.3939;-0.3534;2.3293;214.727;214.727
2;20;3;3.9593;1.5991;0.2368;-3.3157;-2.2286;-0.3128;-2.4655;262.1117;262.1117
