BlockID;TrialID;Config;Position
0;0;0;(1.72, -1.24, -2.17)
0;1;1;(-2.16, -1.05, -0.20)
0;2;2;(3.41, 0.72, 3.53)
1;3;2;(3.37, 1.40, -2.51)
1;4;1;(0.83, 0.54, 3.60)
1;5;0;(1.07, -0.78, -0.62)
2;6;0;(-0.71, -1.33, -1.57)
2;7;2;(0.77, -0.28, 2.31)
2;8;1;(-1.28, 1.26, -0.61)
3;9;1;(-3.06, -1.31, 1.02)
3;10;2;(2.38, 1.32, 3.99)
3;11;0;(-2.34, -0.70, 1.32)
4;12;2;(-2.95, -0.83, -3.59)
4;13;0;(0.73, -0.38, -0.21)
4;14;1;(3.12, -0.80, -3.21)
5;15;1;(-0.14, -1.26, -0.25)
5;16;0;(3.07, 0.25, -3.84)
5;17;2;(0.78, -1.03, -3.38)
6;18;1;(0.93, 0.92, 1.24)
6;19;0;(2.41, -1.64, -2.66)
6;20;2;(0.37, 1.63, -2.52)
7;21;1;(0.49, 0.15, 1.28)
7;22;2;(0.67, 1.14, -3.99)
7;23;0;(-1.93, -1.11, -1.69)
8;24;2;(2.15, -1.22, -0.47)
8;25;0;(-3.20, -0.41, 2.06)
8;26;1;(-1.97, 1.57, -1.52)
9;27;0;(-3.21, -1.20, -3.97)
9;28;2;(1.77, 1.04, 0.39)
9;29;1;(-2.44, 0.43, -0.57)
10;30;1;(1.66, -1.12, -3.80)
10;31;2;(-0.08, 0.44, 3.66)
10;32;0;(-3.36, -0.53, 2.55)
11;33;1;(3.37, -1.53, -2.85)
11;34;2;(0.36, 1.32, -3.46)
11;35;0;(-0.37, 0.62, -0.62)
12;36;2;(-0.48, -1.63, -1.74)
12;37;1;(-3.40, -1.12, -3.81)
12;38;0;(2.76, -1.27, 2.89)
13;39;1;(-1.19, 0.31, 2.23)
13;40;2;(0.48, -0.60, 1.23)
13;41;0;(3.25, 1.18, 1.93)
14;42;2;(1.64, 0.07, -2.98)
14;43;1;(-0.89, 0.48, 1.23)
14;44;0;(2.86, -0.36, -1.55)
15;45;0;(1.21, -0.43, 3.71)
15;46;1;(-2.09, -1.47, -2.98)
15;47;2;(-3.25, 0.61, 2.44)
16;48;0;(3.15, 1.28, 2.31)
16;49;2;(1.08, -0.01, -3.58)
16;50;1;(-2.92, -0.02, 1.46)
17;51;0;(1.58, -0.22, 0.86)
17;52;2;(3.21, 0.30, -1.42)
17;53;1;(0.00, 0.51, 3.30)
18;54;2;(-0.70, 0.85, -0.88)
18;55;0;(-0.71, -1.03, 1.95)
18;56;1;(0.43, 0.51, -2.73)
19;57;1;(-3.40, 0.85, 2.60)
19;58;2;(2.15, 0.96, 3.15)
19;59;0;(0.17, 1.62, -1.37)
