BlockID;TrialID;Config;Position
0;0;0;(2.50, -0.94, -2.57)
0;1;2;(-0.67, 1.52, -0.49)
0;2;1;(2.12, -1.65, -2.47)
1;3;1;(1.69, -1.75, 2.05)
1;4;2;(-1.72, -0.26, 0.66)
1;5;0;(-2.54, -1.22, -3.90)
2;6;0;(2.15, -1.54, -1.06)
2;7;2;(2.28, 0.12, 2.24)
2;8;1;(-0.85, 0.31, -1.42)
3;9;0;(-0.63, 0.19, 1.09)
3;10;2;(2.24, -0.97, -2.42)
3;11;1;(-1.50, 1.11, -2.43)
4;12;2;(-1.60, 1.56, -3.22)
4;13;0;(2.07, -1.09, -2.29)
4;14;1;(-2.00, -1.07, 1.88)
5;15;1;(2.73, 1.15, -2.38)
5;16;0;(-3.08, -0.74, -3.58)
5;17;2;(3.29, -1.30, 0.25)
6;18;0;(1.90, 0.31, -3.98)
6;19;1;(2.72, 1.49, 1.51)
6;20;2;(-0.86, -0.79, -2.30)
7;21;0;(1.86, -0.73, 1.88)
7;22;2;(3.22, 0.68, -2.03)
7;23;1;(-3.05, 0.24, 3.71)
8;24;2;(2.17, -0.65, -3.34)
8;25;1;(-2.06, -1.31, 2.97)
8;26;0;(1.44, 0.47, 0.37)
9;27;0;(-1.02, -0.49, 1.30)
9;28;1;(2.72, -0.65, 3.54)
9;29;2;(0.93, -1.04, -2.00)
10;30;2;(0.08, -0.70, 2.44)
10;31;1;(3.00, 0.29, -2.21)
10;32;0;(-1.68, -0.11, 1.00)
11;33;2;(-2.80, 1.51, -3.69)
11;34;0;(2.90, 0.15, 3.79)
11;35;1;(-1.74, 0.16, -1.42)
12;36;1;(-2.61, -1.62, -3.71)
12;37;2;(-0.95, -1.01, -1.44)
12;38;0;(2.77, -1.18, -1.76)
13;39;1;(-0.44, 0.31, -0.37)
13;40;0;(3.33, 1.51, -0.73)
13;41;2;(-0.28, -0.38, -1.63)
14;42;2;(0.74, 0.88, 3.84)
14;43;1;(-2.88, 1.54, -1.10)
14;44;0;(2.73, 0.10, 3.92)
15;45;1;(-3.36, -0.57, 1.87)
15;46;0;(-0.68, -0.48, 1.59)
15;47;2;(-1.24, -0.85, -0.51)
16;48;0;(3.37, -0.32, 2.07)
16;49;1;(-1.61, 1.27, 1.98)
16;50;2;(-3.25, -0.89, -1.53)
17;51;1;(3.42, -0.67, -1.46)
17;52;2;(1.83, 1.40, 3.55)
17;53;0;(-1.24, 0.86, -3.38)
18;54;1;(-0.33, 0.24, 2.11)
18;55;2;(-3.31, -1.28, 1.16)
18;56;0;(-0.07, 1.10, -2.17)
19;57;0;(1.44, 1.66, 3.71)
19;58;1;(2.44, -0.20, -2.51)
19;59;2;(-2.38, 0.81, -0.30)
