BlockID;TrialID;Config;StopWatch
0;0;0;1.90144
0;1;2;1.390739
0;2;1;0.8232727
1;3;1;2.234966
1;4;0;0.7919273
1;5;2;0.9410477
2;6;1;0.8524933
2;7;2;1.094563
2;8;0;0.8938332
3;9;2;1.101685
3;10;0;1.017578
3;11;1;0.8740616
4;12;1;0.9129562
4;13;2;0.7762527
4;14;0;0.9199524
5;15;1;0.7203674
5;16;0;0.9859314
5;17;2;0.6708603
6;18;1;0.7747116
6;19;0;0.2092819
6;20;2;0.9760971
7;21;2;1.069748
7;22;1;1.045044
7;23;0;0.8153
8;24;1;0.7773361
8;25;2;0.8161316
8;26;0;0.6700363
9;27;0;0.6705933
9;28;2;0.7866974
9;29;1;0.9317703
10;30;1;0.753067
10;31;2;0.8310547
10;32;0;0.7546539
11;33;2;0.7870483
11;34;0;0.7517548
11;35;1;0.8744583
12;36;1;0.7990417
12;37;2;1.005432
12;38;0;0.7067947
13;39;0;0.7284775
13;40;2;0.8279037
13;41;1;0.575737
14;42;2;0.9017792
14;43;1;0.8111649
14;44;0;0.8246918
15;45;2;1.143654
15;46;0;1.033546
15;47;1;0.8822632
16;48;0;1.174881
16;49;1;0.8738174
16;50;2;0.8523483
17;51;1;0.7206268
17;52;2;0.940094
17;53;0;0.7092361
18;54;2;0.8884277
18;55;0;0.9947433
18;56;1;0.7606659
19;57;0;2.051239
19;58;2;1.171196
19;59;1;0.6940155
