BlockID;Frame;StopWatch;PosX;PosY;PosZ
0;0;0.01399803;-2.5519;0.1880;2.7560
0;1;0.04085541;-2.5519;0.1880;2.7560
0;2;0.06557274;-2.5519;0.1880;2.7560
0;3;0.08792305;-2.5519;0.1880;2.7560
0;4;0.1128979;-2.5519;0.1880;2.7560
0;5;0.1387386;-2.5519;0.1880;2.7560
0;6;0.1624336;-2.5519;0.1880;2.7560
0;7;0.1868668;-2.5519;0.1880;2.7560
0;8;0.2120342;-2.5519;0.1880;2.7560
0;9;0.2359219;-2.5519;0.1880;2.7560
0;10;0.261385;-2.5519;0.1880;2.7560
0;11;0.2850838;-2.5519;0.1880;2.7560
0;12;0.3089676;-2.5519;0.1880;2.7560
0;13;0.3336353;-2.5519;0.1880;2.7560
0;14;0.3606873;-2.5519;0.1880;2.7560
0;15;0.3848419;-2.5519;0.1880;2.7560
0;16;0.4080505;-2.5519;0.1880;2.7560
0;17;0.4337749;-2.5519;0.1880;2.7560
0;18;0.4595146;-2.5519;0.1880;2.7560
0;19;0.4830589;-2.5519;0.1880;2.7560
0;20;0.5042229;-2.5519;0.1880;2.7560
0;21;0.5313377;-2.5519;0.1880;2.7560
0;22;0.5541191;-2.5519;0.1880;2.7560
0;23;0.5788059;-2.5519;0.1880;2.7560
0;24;0.6024876;-2.5519;0.2214;2.7954
0;25;0.6280537;-2.5519;0.2720;2.8520
0;26;0.6535664;-2.5485;0.3320;2.9163
0;27;0.6818333;-2.5365;0.3954;2.9789
0;28;0.7067719;-2.5177;0.4717;3.0594
0;29;0.7319603;-2.4851;0.5531;3.1392
0;30;0.7568836;-2.4397;0.6371;3.2163
0;31;0.7830162;-2.3779;0.7357;3.2857
0;32;0.8069172;-2.3111;0.8343;3.3586
0;33;0.832716;-2.2494;0.9380;3.4486
0;34;0.8574963;-2.1739;1.0537;3.5480
0;35;0.8828125;-2.0848;1.1720;3.6406
0;36;0.9070358;-1.9845;1.2937;3.7306
0;37;0.9341278;-1.8928;1.4154;3.8266
0;38;0.9601669;-1.8208;1.5251;3.9149
0;39;0.9849358;-1.7625;1.5706;3.9732
0;40;1.010563;-1.7171;1.6031;4.0000
0;41;1.035263;-1.6999;1.6031;4.0000
0;42;1.060736;-1.6948;1.6031;4.0000
0;43;1.085329;-1.6948;1.6031;4.0000
0;44;1.108187;-1.6948;1.6031;4.0000
0;45;1.133717;-1.6948;1.5946;4.0000
0;46;1.159925;-1.6948;1.5551;4.0000
0;47;1.184963;-1.6948;1.4960;3.9846
0;48;1.210531;-1.7145;1.4008;3.9203
0;49;1.236612;-1.7539;1.3057;3.8440
0;50;1.264906;-1.7874;1.2243;3.7789
0;51;1.290216;-1.7874;1.1746;3.6991
0;52;1.315863;-1.7874;1.1266;3.6349
0;53;1.340405;-1.7874;1.0451;3.5817
0;54;1.367329;-1.7874;0.9534;3.5329
0;55;1.393305;-1.8251;0.8617;3.5183
0;56;1.418713;-1.8705;0.7863;3.5071
0;57;1.444118;-1.9211;0.6826;3.4883
0;58;1.471172;-1.9794;0.5394;3.4660
0;59;1.4986;-2.0488;0.3791;3.4326
0;60;1.523396;-2.1191;0.2274;3.4000
0;61;1.548681;-2.1662;0.1546;3.3786
0;62;1.573858;-2.1979;0.1254;3.3726
0;63;1.599527;-2.1997;0.1254;3.3726
0;64;1.623859;-2.1997;0.1254;3.3726
0;65;1.647762;-2.1997;0.1254;3.3726
0;66;1.671497;-2.1997;0.1254;3.3726
0;67;1.69607;-2.1997;0.1254;3.3726
0;68;1.720808;-2.1997;0.1254;3.3726
0;69;1.746346;-2.1911;0.1340;3.3726
0;70;1.773355;-2.1765;0.1366;3.3726
0;71;1.799129;-2.1722;0.1366;3.3726
0;72;1.82379;-2.1534;0.1366;3.3906
0;73;1.850422;-2.1422;0.1134;3.3906
0;74;1.876408;-2.1371;0.0406;3.3589
0;75;1.902584;-2.1371;-0.0212;3.3151
0;76;1.928556;-2.1371;-0.0623;3.2654
0;77;1.953156;-2.1559;-0.1334;3.1711
0;78;1.98053;-2.1611;-0.2123;3.0263
0;79;2.00705;-2.1611;-0.2620;2.8711
0;80;2.032104;-2.1388;-0.2620;2.7331
0;81;2.057333;-2.0985;-0.2620;2.6243
0;82;2.082821;-2.0771;-0.2474;2.6037
0;83;2.107374;-2.0771;-0.2380;2.6037
0;84;2.133493;-2.0771;-0.2380;2.6037
0;85;2.157532;-2.0771;-0.2380;2.6037
0;86;2.181162;-2.0771;-0.2380;2.6037
0;87;2.204758;-2.0771;-0.2380;2.6037
0;88;2.231724;-2.0582;-0.2380;2.6037
0;89;2.25951;-2.0051;-0.2380;2.5531
0;90;2.285948;-1.9502;-0.2380;2.4983
0;91;2.311647;-1.9099;-0.1986;2.4657
0;92;2.336363;-1.8568;-0.1660;2.4229
0;93;2.363989;-1.7805;-0.1360;2.3491
0;94;2.390415;-1.6742;-0.1129;2.2463
0;95;2.416023;-1.5517;-0.0820;2.1494
0;96;2.440512;-1.4231;-0.0469;2.0577
0;97;2.465961;-1.2817;0.0003;1.9677
0;98;2.492273;-1.1428;0.0543;1.8829
0;99;2.518457;-1.0022;0.1066;1.8006
0;100;2.543457;-0.8668;0.1623;1.7183
0;101;2.56888;-0.7348;0.2171;1.6360
0;102;2.595125;-0.6225;0.2711;1.5709
0;103;2.62352;-0.5068;0.3046;1.4929
0;104;2.651949;-0.3782;0.3380;1.4149
0;105;2.67948;-0.2351;0.3877;1.3411
0;106;2.706196;-0.0919;0.4314;1.2709
0;107;2.735952;0.0529;0.4674;1.2006
0;108;2.761688;0.1806;0.4966;1.1423
0;109;2.790293;0.2612;0.4974;1.0926
0;110;2.818094;0.3161;0.5308;1.0754
0;111;2.845276;0.3872;0.5746;1.0677
0;112;2.87295;0.4626;0.6191;1.0771
0;113;2.899023;0.5312;0.6311;1.0994
0;114;2.92617;0.6032;0.6311;1.0994
0;115;2.953711;0.7489;0.6311;1.0677
0;116;2.981813;0.8955;0.6311;1.0471
0;117;3.007158;0.9915;0.6311;1.0471
0;118;3.032488;1.0806;0.6311;1.0471
0;119;3.057747;1.1775;0.6123;1.0437
0;120;3.082638;1.2855;0.5771;1.0360
0;121;3.107878;1.3926;0.5231;1.0240
0;122;3.134518;1.4895;0.4700;1.0146
0;123;3.160809;1.5649;0.4374;1.0146
0;124;3.186495;1.6386;0.3928;1.0146
0;125;3.212818;1.7158;0.3457;1.0146
0;126;3.237898;1.7526;0.3166;1.0146
0;127;3.265261;1.7535;0.3054;1.0146
0;128;3.291039;1.7535;0.3054;1.0146
0;129;3.312956;1.7535;0.3054;1.0249
0;130;3.341322;1.7535;0.3054;1.0309
0;131;3.366568;1.7535;0.3054;1.0334
0;132;3.393032;1.7835;0.3063;1.0334
0;133;3.418543;1.8358;0.3063;1.0334
0;134;3.44491;1.9275;0.3114;1.0334
0;135;3.470324;2.0149;0.3114;1.0334
0;136;3.499365;2.0518;0.3114;1.0454
0;137;3.525343;2.0629;0.3114;1.1046
0;138;3.551695;2.0826;0.3114;1.1963
0;139;3.57794;2.1358;0.3234;1.2957
0;140;3.603136;2.2044;0.3440;1.3746
0;141;3.629623;2.2746;0.3723;1.4569
