BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;4;15.71868;5.071192;0
0;1;6;3.132454;0.8432496;0
0;2;5;5.700817;1.294524;0
0;3;2;2.695877;0.7194452;0
0;4;3;3.365463;0.8490022;0
0;5;0;3.523777;0.8067552;0
0;6;1;2.59808;0.6577853;0
1;7;2;2.292473;0.7054219;0
1;8;0;2.455055;1.055969;0
1;9;5;7.033257;3.062425;0
1;10;3;2.445;0.6307136;0
1;11;6;2.151215;1.314608;0
1;12;1;2.234749;0.7039907;0
1;13;4;2.659264;0.9611068;0
2;14;5;2.364426;0.5790299;0
2;15;2;3.225349;0.9030859;0
2;16;0;3.223;1.278229;0
2;17;3;2.721016;0.597689;0
2;18;1;2.452591;0.6326024;0
2;19;4;2.124222;0.6383836;0
2;20;6;3.387665;0.7567279;0
