BlockID;TrialID;Config;Position
0;0;0;(-2.83, 1.39, 3.97)
0;1;2;(0.75, 1.71, -1.08)
0;2;1;(0.62, -0.78, 3.15)
1;3;0;(2.57, 1.37, -2.32)
1;4;2;(0.71, 0.62, 1.55)
1;5;1;(-2.58, -0.97, -3.21)
2;6;0;(-0.84, 0.04, -0.24)
2;7;2;(2.38, -0.08, -2.00)
2;8;1;(-2.11, 1.63, -2.80)
3;9;0;(0.05, -0.08, -0.99)
3;10;1;(2.58, 0.47, -2.94)
3;11;2;(2.00, 0.53, 2.22)
4;12;2;(-0.74, 0.71, 2.29)
4;13;0;(-3.49, -1.45, 2.50)
4;14;1;(1.09, -0.86, 0.45)
5;15;1;(2.75, -0.69, -3.08)
5;16;2;(-3.31, 1.18, 0.86)
5;17;0;(2.86, 0.52, 3.48)
6;18;0;(-2.44, -0.60, -3.92)
6;19;2;(2.37, -0.11, -1.74)
6;20;1;(-2.91, -0.29, 3.93)
7;21;1;(2.47, -1.63, -3.89)
7;22;0;(-2.66, 1.12, -0.40)
7;23;2;(3.02, 0.62, 2.74)
8;24;2;(2.64, -0.32, -3.97)
8;25;1;(-0.61, 0.56, 0.61)
8;26;0;(-3.40, -1.36, -0.50)
9;27;2;(-2.93, -1.01, 1.25)
9;28;0;(1.96, 0.54, -1.99)
9;29;1;(1.26, -0.45, 2.20)
10;30;0;(-2.16, 0.27, 3.77)
10;31;1;(-2.26, -0.22, -2.67)
10;32;2;(1.18, -0.56, 2.36)
11;33;1;(0.65, 1.19, -3.39)
11;34;0;(-3.23, 1.67, 0.67)
11;35;2;(-1.24, 1.11, 3.00)
12;36;2;(-3.07, -1.69, 0.10)
12;37;0;(2.41, 0.84, -2.42)
12;38;1;(-0.98, 1.11, 0.56)
13;39;2;(-0.73, 0.34, 1.75)
13;40;1;(3.09, -1.07, -1.01)
13;41;0;(-2.20, 0.86, 3.19)
14;42;1;(-3.03, -1.05, 0.21)
14;43;2;(-2.96, -0.93, -3.54)
14;44;0;(2.22, -0.07, 0.89)
15;45;2;(-1.69, -1.14, -3.69)
15;46;0;(1.28, 1.56, -1.62)
15;47;1;(-0.05, 1.68, 1.74)
16;48;1;(-2.40, 0.68, -3.34)
16;49;2;(3.33, 0.73, -4.00)
16;50;0;(0.54, 0.62, 1.37)
17;51;2;(-1.13, 1.56, 3.24)
17;52;0;(-2.37, -1.13, -3.59)
17;53;1;(1.06, -1.14, 2.21)
18;54;0;(-0.46, -1.44, 0.28)
18;55;1;(-2.69, 0.24, -1.44)
18;56;2;(3.34, 0.67, -1.51)
19;57;1;(-2.69, 0.08, -3.31)
19;58;0;(-1.91, 1.43, -3.68)
19;59;2;(-2.43, -0.57, 1.98)
