BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;5;6.375149;0.5683045;0
0;1;0;4.586899;0.511883;0
0;2;2;6.695881;0.6340646;0
0;3;1;5.834404;0.6605052;0
0;4;6;8.757988;1.419229;0
0;5;4;7.281029;1.115188;0
0;6;3;5.797256;0.6184118;0
1;7;2;6.353867;0.5331542;0
1;8;6;8.907074;0.853396;0
1;9;5;10.82166;0.8314468;0
1;10;1;5.17524;0.544107;0
1;11;0;4.487747;0.606818;0
1;12;3;5.842209;0.5331804;0
1;13;4;6.058151;0.7327496;0
2;14;0;4.100555;0.621555;0
2;15;4;3.916351;0.9058404;0
2;16;1;4.022461;0.6926554;0
2;17;6;4.24646;0.5237889;0
2;18;3;5.201096;0.6168316;0
2;19;2;4.6707;0.79897;0
2;20;5;6.008667;1.086952;0
