BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;0;4,6548;-2,3966;-1,3611;3,4747;2,2582;-1,3611;3,4747;206,4184;206,4184
0;1;3;3,5621;1,2835;0,3044;3,2861;-2,1608;1,2127;3,2861;211,8689;211,8689
0;2;5;3,3908;-0,9427;0,6118;3,4870;-0,9427;1,3175;0,1705;202,4537;202,4537
0;3;2;4,2568;-1,1494;1,0687;0,8382;-1,1494;1,0687;-3,4185;143,7408;143,7408
0;4;6;3,2749;-1,2331;0,8173;3,2330;-1,9838;-0,5872;0,3713;172,5161;172,5162
0;5;4;5,7489;-2,4512;-1,1241;3,4299;2,5223;-1,1241;0,5466;146,1837;146,1837
0;6;1;3,4583;-0,7817;1,3635;-0,7178;1,9308;-0,7817;-0,7178;170,8283;170,8283
1;7;1;3,0938;-1,2309;1,0617;-1,5397;0,8466;-1,2309;-1,5397;23,16619;23,16619
1;8;5;5,1408;1,3623;-0,2765;-1,8011;1,3623;0,6481;3,2558;71,73677;71,73679
1;9;3;4,7947;-2,9823;0,6686;-2,2469;1,3482;-1,3894;-2,2469;300,6768;300,6768
1;10;4;4,7605;0,9043;0,4576;2,5484;-0,0965;0,4576;-2,1058;346,0334;346,0334
1;11;2;3,7250;-1,1374;-0,3950;-2,2477;-1,1374;-0,3950;1,4773;226,4852;226,4852
1;12;6;4,2495;-0,6375;0,1310;-2,8455;1,8485;-0,4069;0,5587;328,4227;328,4228
1;13;0;3,2092;-2,6013;1,1747;2,2584;0,6079;1,1747;2,2584;96,82507;96,82509
2;14;1;2,9775;1,1312;1,1967;-1,4028;-1,8456;1,1312;-1,4028;34,37687;34,37688
2;15;3;3,2593;-2,4565;0,4480;2,8000;0,7837;0,8003;2,8000;133,2457;133,2457
2;16;0;4,0701;-1,8235;-0,3293;1,9961;2,2467;-0,3293;1,9961;19,81712;19,81712
2;17;6;5,8953;2,2560;0,7171;-2,0310;-1,6275;0,7528;2,4043;295,0326;295,0326
2;18;2;5,1675;2,0311;0,9719;2,5229;2,0311;0,9719;-2,6446;299,1207;299,1207
2;19;4;4,4082;-0,4106;1,0744;-0,9029;1,8006;1,0744;2,9106;69,30476;69,30477
2;20;5;3,6892;1,1409;-0,6385;1,7769;1,1409;0,3066;-1,7892;9,276514;9,276515
